occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"You see a steel door. A sign on it reads: ""Reactor Core Control Room. Authorized Personnel Only.""","You see a steel door. A sign on it reads: ""Reactor Core Control Room. Authorized Personnel Only.""",2,2,1,2,False
2,101,101,101,,,The door is locked electronically.,The door is locked electronically.,3,3,1,2,False
3,102,102,102,,,The door is not locked.,The door is not locked.,4,4,1,2,False
4,103,103,103,,,You manage to bypass the electronic lock.,You manage to bypass the electronic lock.,5,5,1,2,False
5,104,104,104,,,Your attempt to circumvent the electronic lock fails.,Your attempt to circumvent the electronic lock fails.,6,6,1,2,False
6,100,100,100,,,你看到一扇金属门，上面的标着：“核心反应器控制室。只有经过授权的人员可以进入。”,你看到一扇金属门，上面的标着：“核心反应器控制室。只有经过授权的人员可以进入。”,7,7,2,2,True
7,101,101,101,,,这门被电子锁锁着。,这门被电子锁锁着。,8,8,2,2,True
8,102,102,102,,,这门没有上锁。,这门没有上锁。,9,9,2,2,True
9,103,103,103,,,你设法解开电子锁。,你设法解开电子锁。,10,10,2,2,True
10,104,104,104,,,你没能把电子锁解开。,你没能把电子锁解开。,11,11,2,2,True
