procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
1,start,1232,message_lookup,174,100,100,,,,,linked,你看到一名黑发的年轻女子。,
1,start,1256,message_lookup,174,101,101,,,,,linked,你看到洛林，一个来自内城区的拾荒者。,
3,Lorri01,1512,message_lookup,174,102,102,,,,,linked,您好，你是新来的吗？,
3,Lorri01,1554,message_lookup,174,103,103,,,,,linked,是的。能介绍一下这里吗？,
3,Lorri01,1602,message_lookup,174,104,104,,,,,linked,是的。我叫,
3,Lorri01,1630,message_lookup,174,105,105,,,,,linked,。,
3,Lorri01,1682,message_lookup,174,106,106,,,,,linked,喔？,
4,Lorri02,1736,message_lookup,174,107,107,,,,,linked,让我猜猜。你想知道什么？,
4,Lorri02,1796,message_lookup,174,108,108,,,,,linked,你是谁？,
4,Lorri02,1844,message_lookup,174,109,109,,,,,linked,你能跟我讲讲有关晒骨场的事情吗？,
4,Lorri02,1892,message_lookup,174,110,110,,,,,linked,告诉我些内城区居民的事好吗？,
4,Lorri02,1940,message_lookup,174,111,111,,,,,linked,你靠什么过活？,
4,Lorri02,1988,message_lookup,174,112,112,,,,,linked,谢谢，别担心。,
5,Lorri03,2056,message_lookup,174,113,113,,,,,linked,我是洛林。,
5,Lorri03,2098,message_lookup,174,114,114,,,,,linked,我能问你几个问题吗？,
5,Lorri03,2146,message_lookup,174,115,115,,,,,linked,我是一个拾荒者。我和山谬一起在废墟里搜罗材料和资源，用来盖房子和做买卖。,
6,Lorri04,2200,message_lookup,174,116,116,,,,,linked,为什么这儿的人不都去做呢？,
6,Lorri04,2242,message_lookup,174,117,117,,,,,linked,你们在这里有多少人手？,
6,Lorri04,2290,message_lookup,174,118,118,,,,,linked,咱们换个话题好吗？,
6,Lorri04,2338,message_lookup,174,119,119,,,,,linked,和你聊天很开心。,
7,Lorri05,2392,message_lookup,174,120,120,,,,,linked,你赶走了本地的死亡爪，另外自称为内城区保护神的管理者们就失分了。我猜那些人没现金付你，而且他们连看一眼死亡爪的胆量都没有。,
8,Lorri06,2440,message_lookup,174,121,121,,,,,linked,管理者们负责什么？,
8,Lorri06,2482,message_lookup,174,122,122,,,,,linked,你们怎么躲开死亡爪。,
8,Lorri06,2530,message_lookup,174,123,123,,,,,linked,我能问些其他的问题吗？,
8,Lorri06,2578,message_lookup,174,124,124,,,,,linked,谢谢。再见。,
8,Lorri06,2626,message_lookup,174,125,125,,,,,linked,哦，我们在这儿有半打的人。山谬就是一个，也是最好的一个。,
9,Lorri07,2680,message_lookup,174,126,126,,,,,linked,我能问些其它问题吗？,
9,Lorri07,2722,message_lookup,174,127,127,,,,,linked,很有意思，谢谢。,
9,Lorri07,2770,message_lookup,174,128,128,,,,,linked,他们维持本地的秩序，控制着这儿所有的的往来钞票。其他人要为他们卖苦力，而且要求很苛刻。他们中许多人根本不关心附近的情况。,
10,Lorri08,2824,message_lookup,174,129,129,,,,,linked,所有的一切都会你怀疑茱莉亚娜在想什么。,
10,Lorri08,2846,message_lookup,174,130,130,,,,,linked,能和我说说茱莉亚娜吗？,
10,Lorri08,2888,message_lookup,174,131,131,,,,,linked,太恶心了。咱们谈些别的好吗？,
10,Lorri08,2936,message_lookup,174,132,132,,,,,linked,多谢提醒。,
10,Lorri08,2984,message_lookup,174,133,133,,,,,linked,哦，前阵子她被几个利刃帮的混账缠住了。可怜的她再也不能离开这个镇子了，当然，卡勒布会杀光他看到的所有小伙。太惨了。,
11,Lorri09,3038,message_lookup,174,134,134,,,,,linked,哦……既然你这么说。,
11,Lorri09,3080,message_lookup,174,135,135,,,,,linked,我能问些其它问题吗？,
11,Lorri09,3128,message_lookup,174,136,136,,,,,linked,嗯，谢谢你告诉我这么多事情。再见,
11,Lorri09,3176,message_lookup,174,137,137,,,,,linked,我们只有天黑后才能干活。我们干这活也很拿手。对于想要加入我们的人，山谬有个小测试来考验这些人。,
12,Lorri10,3230,message_lookup,174,138,138,,,,,linked,什么样的测试？,
12,Lorri10,3272,message_lookup,174,139,139,,,,,linked,听起来还是很危险。,
12,Lorri10,3320,message_lookup,174,140,140,,,,,linked,我明白。我们会注意的。,
12,Lorri10,3368,message_lookup,174,141,141,,,,,linked,很有意思。再见。,
12,Lorri10,3416,message_lookup,174,142,142,,,,,linked,山谬让那个人白天藏在内城区的什么地方，如果1小时内山缪找不到他，他就能加入拾荒队了。,
13,Lorri11,3470,message_lookup,174,143,143,,,,,linked,真是个傻办法！,
13,Lorri11,3512,message_lookup,174,144,144,,,,,linked,别小看这工作。它至少可以让你生存。,
13,Lorri11,3560,message_lookup,174,145,145,,,,,linked,嗯。我能问你些其他的问题吗？,
13,Lorri11,3608,message_lookup,174,146,146,,,,,linked,很有意思。再见。,
13,Lorri11,3656,message_lookup,174,147,147,,,,,linked,此刻，你一点罗曼蒂克的感觉都没有？真的吗？这真是太糟了。那是无偿的爱和那所有的一切。你真无可救药了。,
14,Lorri12,3710,message_lookup,174,148,148,,,,,linked,嗯。如果你能找到山谬的话，把你所知道的告诉他。,
15,Lorri13,3758,message_lookup,174,149,149,,,,,linked,是的，而且它很凶猛。它非常危险，尤其你被抓住的时候。,
16,Lorri14,3806,message_lookup,174,150,150,,,,,linked,毫无疑问。我能问你些其他的问题吗？,
16,Lorri14,3848,message_lookup,174,151,151,,,,,linked,谢谢你告诉我这些。,
16,Lorri14,3896,message_lookup,174,152,152,,,,,linked,噢，很抱歉我帮不了你了。,
17,Lorri15,3950,message_lookup,174,153,153,,,,,linked,这里以前是个大城市，叫洛杉矶。但是一颗原子弹毁了一切。现在，这里叫晒骨场。我们内城区的居民都是在劫难中侥幸活下来的。,
18,Lorri16,3998,message_lookup,174,154,154,,,,,linked,你能多和我聊聊洛杉矶吗？,
18,Lorri16,4040,message_lookup,174,155,155,,,,,linked,我明白。谢谢。,
18,Lorri16,4088,message_lookup,174,156,156,,,,,linked,当年很多人都住在这。据我所知，这儿的大多数人当年都躲在一个叫避难所的大地方，并在几年后回到地面。其中一些人创立了管理者组织，建立了内城区。同时,
19,Lorri17,4142,message_lookup,174,157,157,,,,,linked,另一些人组成了利刃帮。而军火商则是后来出现的。,
19,Lorri17,4164,message_lookup,174,158,158,,,,,linked,避难所在哪？,
19,Lorri17,4206,message_lookup,174,159,159,,,,,linked,管理者们负责什么？,
19,Lorri17,4254,message_lookup,174,160,160,,,,,linked,那么军火商又是从哪里来的？,
19,Lorri17,4302,message_lookup,174,161,161,,,,,linked,,
19,Lorri17,4350,message_lookup,174,162,162,,,,,linked,谢谢你的帮助。,
19,Lorri17,4398,message_lookup,174,163,163,,,,,linked,据我想他们应该是来自这里南面点的地方，不过我并不确定。我只是觉得任何人都会想方设法离开那该死的破地方。,
20,Lorri18,4452,message_lookup,174,164,164,,,,,linked,我能再问些问题吗？,
20,Lorri18,4494,message_lookup,174,165,165,,,,,linked,嗯。谢谢。,
20,Lorri18,4542,message_lookup,174,166,166,,,,,linked,我不太确定。我想他们来自北面。,
21,Lorri19,4596,message_lookup,174,167,167,,,,,linked,能和我说说管理者吗？,
21,Lorri19,4638,message_lookup,174,168,168,,,,,linked,我能问些其它问题吗？,
21,Lorri19,4686,message_lookup,174,169,169,,,,,linked,谢谢你告诉我这么多。,
