occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see a slender young woman with a smudged face and dark clothing.,You see a slender young woman with a smudged face and dark clothing.,1,1,1,2,False
2,100,100,100,,,你看见一个身着黑衣、脸上满是污垢的女孩。,你看见一个身着黑衣、脸上满是污垢的女孩。,2,2,2,2,True
3,101,101,101,,,"You see Katja, the thief.","You see Katja, the thief.",4,4,1,2,False
4,101,101,101,,,你看见卡佳，她是个小偷。,你看见卡佳，她是个小偷。,5,5,2,2,True
5,102,102,102,,,You're not from around here. Who're you?,You're not from around here. Who're you?,7,7,1,2,False
6,102,102,102,,,你不是这里人，你叫什么？,你不是这里人，你叫什么？,8,8,2,2,True
7,103,103,103,,,The name's ,The name's ,14,14,1,2,False
8,103,103,103,,,我叫,我叫,15,15,2,2,True
9,104,104,104,,,.,.,17,17,1,2,False
10,104,104,104,,,。,。,18,18,2,2,True
11,105,105,105,,,I'm a traveler.,I'm a traveler.,20,20,1,2,False
12,105,105,105,,,我是个旅行者。,我是个旅行者。,21,21,2,2,True
13,106,106,106,,,I might ask the same of you.,I might ask the same of you.,23,23,1,2,False
14,106,106,106,,,我也想问你同样的问题。,我也想问你同样的问题。,24,24,2,2,True
15,107,107,107,,,"And what, may I ask, are you doing in the Boneyards?","And what, may I ask, are you doing in the Boneyards?",26,26,1,2,False
16,107,107,107,,,你能说说你在晒骨场干什么吗？,你能说说你在晒骨场干什么吗？,27,27,2,2,True
17,108,108,108,,,You ask a lot of questions.,You ask a lot of questions.,29,29,1,2,False
18,108,108,108,,,你的问题很多啊。,你的问题很多啊。,30,30,2,2,True
19,109,109,109,,,First you tell me who you are.,First you tell me who you are.,32,32,1,2,False
20,109,109,109,,,你先告诉我你是谁。,你先告诉我你是谁。,33,33,2,2,True
21,110,110,110,,,I'm just an explorer.,I'm just an explorer.,35,35,1,2,False
22,110,110,110,,,我只是一个闲逛的人。,我只是一个闲逛的人。,36,36,2,2,True
23,111,111,111,,,I'm looking for a replacement water chip for my Vault.,I'm looking for a replacement water chip for my Vault.,38,38,1,2,False
24,111,111,111,,,我想为我的避难所找到净水芯片。,我想为我的避难所找到净水芯片。,39,39,2,2,True
25,112,112,112,,,You learn to be careful out here. So what are you doing here?,You learn to be careful out here. So what are you doing here?,41,41,1,2,False
26,112,112,112,,,你在这里要小心点。你是干什么的？,你在这里要小心点。你是干什么的？,42,42,2,2,True
27,113,113,113,,,"All right, fair enough. I'm called Katja. What's it matter to you?","All right, fair enough. I'm called Katja. What's it matter to you?",44,44,1,2,False
28,113,113,113,,,好啦，为了公平，我叫卡佳，你为什么要知道？,好啦，为了公平，我叫卡佳，你为什么要知道？,45,45,2,2,True
29,114,114,114,,,Why so hostile?,Why so hostile?,47,47,1,2,False
30,114,114,114,,,这么敌意做什么？,这么敌意做什么？,48,48,2,2,True
31,115,115,115,,,"Hey, if you're going to be rude about it, then I'll see you later.","Hey, if you're going to be rude about it, then I'll see you later.",50,50,1,2,False
32,115,115,115,,,你再这么粗暴，我可走了。,你再这么粗暴，我可走了。,51,51,2,2,True
33,116,116,116,,,I'm looking for information. Can you help?,I'm looking for information. Can you help?,53,53,1,2,False
34,116,116,116,,,我想打听点消息，你能帮我吗？,我想打听点消息，你能帮我吗？,54,54,2,2,True
35,117,117,117,,,"You might, but you're on my home turf, not vice-versa. So put up or# shut up.","You might, but you're on my home turf, not vice-versa. So put up or
# shut up.",56,57,1,2,False
36,117,117,117,,,随你，你在我的地盘上，而不是我在你的地盘上，所以要么说实话，要么就闭嘴。,随你，你在我的地盘上，而不是我在你的地盘上，所以要么说实话，要么就闭嘴。,58,58,2,2,True
37,118,118,118,,,"It's not important, I'm just a traveler. I need some information.","It's not important, I'm just a traveler. I need some information.",60,60,1,2,False
38,118,118,118,,,我是谁不重要。我只是一个旅行者，我需要情报。,我是谁不重要。我只是一个旅行者，我需要情报。,61,61,2,2,True
39,119,119,119,,,"A water purification chip? Sorry, don't know anything about that. Don't# see much of that kind of tech here in the Boneyards, except maybe the stuff# Miles works on.","A water purification chip? Sorry, don't know anything about that. Don't
# see much of that kind of tech here in the Boneyards, except maybe the stuff
# Miles works on.",63,65,1,2,False
40,119,119,119,,,净水芯片？抱歉，我一点都不知道。晒骨场没有什么高科技，除了麦尔斯，他经常捣腾一些高级货。,净水芯片？抱歉，我一点都不知道。晒骨场没有什么高科技，除了麦尔斯，他经常捣腾一些高级货。,66,66,2,2,True
41,120,120,120,,,"Well, thanks anyhow.","Well, thanks anyhow.",68,68,1,2,False
42,120,120,120,,,哦，谢谢。,哦，谢谢。,69,69,2,2,True
43,121,121,121,,,"Miles? Where can I find him, and could he help?","Miles? Where can I find him, and could he help?",71,71,1,2,False
