occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,100,100,100,,,You see Bob.,You see Bob.,4,4,1,2,False
4,100,100,100,,,你看见鲍勃。,你看见鲍勃。,5,5,2,2,True
5,101,101,101,,,No way I'll let you rob me blind!,No way I'll let you rob me blind!,6,6,1,2,False
6,101,101,101,,,想打劫我，没门儿！,想打劫我，没门儿！,7,7,2,2,True
7,102,102,102,,,"Hey, I don't want no trouble!","Hey, I don't want no trouble!",8,8,1,2,False
8,102,102,102,,,嘿，我不想惹什么麻烦！,嘿，我不想惹什么麻烦！,9,9,2,2,True
9,103,103,103,,,Gimme an iguana on a stick.,Gimme an iguana on a stick.,10,10,1,2,False
10,103,103,103,,,给我一串烤蜥蜴。,给我一串烤蜥蜴。,11,11,2,2,True
11,104,104,104,,,What can you tell me about a water chip?,What can you tell me about a water chip?,12,12,1,2,False
12,104,104,104,,,你能跟我说说净水芯片的事吗？,你能跟我说说净水芯片的事吗？,13,13,2,2,True
13,105,105,105,,,What can you tell me about Decker?,What can you tell me about Decker?,14,14,1,2,False
14,105,105,105,,,你能跟我说说德克的情况吗？,你能跟我说说德克的情况吗？,15,15,2,2,True
15,106,106,106,,,I think we need to talk about Doc Morbid and some of your secret ingredients.,I think we need to talk about Doc Morbid and some of your secret ingredients.,16,16,1,2,False
16,106,106,106,,,我想我们该谈一谈有关莫彼得医生和你那些秘密原料的事。,我想我们该谈一谈有关莫彼得医生和你那些秘密原料的事。,17,17,2,2,True
17,107,107,107,,,Do you know anything about the missing caravans?,Do you know anything about the missing caravans?,18,18,1,2,False
18,107,107,107,,,关于失踪的商队，你知道些什么吗？,关于失踪的商队，你知道些什么吗？,19,19,2,2,True
19,108,108,108,,,"What, me trouble? What gives you that impression?","What, me trouble? What gives you that impression?",20,20,1,2,False
20,108,108,108,,,什么，我有麻烦？你从哪里看出来的？,什么，我有麻烦？你从哪里看出来的？,21,21,2,2,True
21,109,109,109,,,Me hungry! Grrrr!,Me hungry! Grrrr!,22,22,1,2,False
22,109,109,109,,,我饿！呃啊！,我饿！呃啊！,23,23,2,2,True
23,110,110,110,,,"Hi. Welcome to Bob's Iguana Bits, the family eating place. May I take your order?","Hi. Welcome to Bob's Iguana Bits, the family eating place. May I take your order?",24,24,1,2,False
24,110,110,110,,,嗨！欢迎到“鲍勃的蜥蜴料理”，吃饭的好地方。要来点什么？,嗨！欢迎到“鲍勃的蜥蜴料理”，吃饭的好地方。要来点什么？,25,25,2,2,True
25,111,111,111,,,Gimme an iguana on a stick.,Gimme an iguana on a stick.,26,26,1,2,False
26,111,111,111,,,给我一串烤蜥蜴。,给我一串烤蜥蜴。,27,27,2,2,True
27,112,112,112,,,What can you tell me about a water chip?,What can you tell me about a water chip?,28,28,1,2,False
28,112,112,112,,,你能跟我说一些有关净水芯片的事吗？,你能跟我说一些有关净水芯片的事吗？,29,29,2,2,True
29,113,113,113,,,What can you tell me about Decker?,What can you tell me about Decker?,30,30,1,2,False
30,113,113,113,,,你能跟我说一些有关德克的情况吗？,你能跟我说一些有关德克的情况吗？,31,31,2,2,True
31,114,114,114,,,I think we need to talk about Doc Morbid and some of your secret ingredients.,I think we need to talk about Doc Morbid and some of your secret ingredients.,32,32,1,2,False
32,114,114,114,,,我想我们该谈一谈有关莫彼得医生和你那些秘密原料的事。,我想我们该谈一谈有关莫彼得医生和你那些秘密原料的事。,33,33,2,2,True
33,115,115,115,,,Do you know anything about the missing caravans?,Do you know anything about the missing caravans?,34,34,1,2,False
34,115,115,115,,,关于失踪的商队，你知道些什么吗？,关于失踪的商队，你知道些什么吗？,35,35,2,2,True
35,116,116,116,,,Anything interesting happening in the Hub?,Anything interesting happening in the Hub?,36,36,1,2,False
36,116,116,116,,,哈勃城发生了什么有趣的事吗？,哈勃城发生了什么有趣的事吗？,37,37,2,2,True
37,117,117,117,,,Me hungry! Grrrr!,Me hungry! Grrrr!,38,38,1,2,False
38,117,117,117,,,我饿了！呃啊！,我饿了！呃啊！,39,39,2,2,True
39,118,118,118,,,"Sorry, we're all out of iguana.","Sorry, we're all out of iguana.",40,40,1,2,False
40,118,118,118,,,对不起，我们的蜥蜴都卖完了。,对不起，我们的蜥蜴都卖完了。,41,41,2,2,True
41,119,119,119,,,We only have whole iguana on a stick. Twenty bucks each.,We only have whole iguana on a stick. Twenty bucks each.,42,42,1,2,False
42,119,119,119,,,我们只有烤整蜥蜴了。一个二十块。,我们只有烤整蜥蜴了。一个二十块。,43,43,2,2,True
43,120,120,120,,,"We only have prime select choice. It tastes great, though. Eight bucks each.","We only have prime select choice. It tastes great, though. Eight bucks each.",44,44,1,2,False
44,120,120,120,,,我们只有精选肉块了。不过吃起来很棒。一个八块。,我们只有精选肉块了。不过吃起来很棒。一个八块。,45,45,2,2,True
45,121,121,121,,,"Sure. We got whole iguana on a stick for twenty bucks, and our prime select pieces for eight bucks.","Sure. We got whole iguana on a stick for twenty bucks, and our prime select pieces for eight bucks.",46,46,1,2,False
46,121,121,121,,,当然。烤整蜥蜴是二十块，精选肉块是八块。,当然。烤整蜥蜴是二十块，精选肉块是八块。,47,47,2,2,True
47,122,122,122,,,I'll take a whole iguana.,I'll take a whole iguana.,48,48,1,2,False
