occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Security Station,Security Station,2,2,1,2,False
2,100,100,100,,,安全岗哨,安全岗哨,3,3,2,2,True
3,101,101,101,,,"This terminal, 'Tylier', controls Special Forces Operations. Please# present voice authorization.","This terminal, 'Tylier', controls Special Forces Operations. Please
# present voice authorization.",5,6,1,2,False
4,101,101,101,,,这个终端【泰勒尔】，控制特殊武器运转。请提供声音认证。,这个终端【泰勒尔】，控制特殊武器运转。请提供声音认证。,7,7,2,2,True
5,102,102,102,,,Nuna!,Nuna!,9,9,1,2,False
6,102,102,102,,,噜哪！,噜哪！,10,10,2,2,True
7,103,103,103,,,Help me. Me got owwie.,Help me. Me got owwie.,12,12,1,2,False
8,103,103,103,,,救救我，我受伤了。,救救我，我受伤了。,13,13,2,2,True
9,104,104,104,,,Let me in.,Let me in.,15,15,1,2,False
10,104,104,104,,,让我进去。,让我进去。,16,16,2,2,True
11,105,105,105,,,I am ,I am ,18,18,1,2,False
12,105,105,105,,,我是,我是,19,19,2,2,True
13,106,106,106,,,. Let me pass.,. Let me pass.,21,21,1,2,False
14,106,106,106,,,。让我通过。,。让我通过。,22,22,2,2,True
15,107,107,107,,,What do you do here?,What do you do here?,24,24,1,2,False
16,107,107,107,,,你在这里干吗？,你在这里干吗？,25,25,2,2,True
17,108,108,108,,,Voice not recognized. Security systems status: armed.,Voice not recognized. Security systems status: armed.,27,27,1,2,False
18,108,108,108,,,声音认证没有被通过。安全系统状态：防御。,声音认证没有被通过。安全系统状态：防御。,28,28,2,2,True
19,109,109,109,,,I am the security system for Blue Level. All systems armed.,I am the security system for Blue Level. All systems armed.,30,30,1,2,False
20,109,109,109,,,我是蓝层的安全系统。所有系统进入防御状态。,我是蓝层的安全系统。所有系统进入防御状态。,31,31,2,2,True
21,110,110,110,,,Can you disarm the systems?,Can you disarm the systems?,33,33,1,2,False
22,110,110,110,,,你可以解除防御系统吗？,你可以解除防御系统吗？,34,34,2,2,True
23,111,111,111,,,Why are the systems armed when the war has ended?,Why are the systems armed when the war has ended?,36,36,1,2,False
24,111,111,111,,,为什么战争已经结束了系统却仍在防御状态中？,为什么战争已经结束了系统却仍在防御状态中？,37,37,2,2,True
25,112,112,112,,,Thank you.,Thank you.,39,39,1,2,False
26,112,112,112,,,谢谢。,谢谢。,40,40,2,2,True
27,113,113,113,,,I have been programmed to keep the systems armed until# authorized personnel have entered the correct voice code.,"I have been programmed to keep the systems armed until
# authorized personnel have entered the correct voice code.",42,43,1,2,False
28,113,113,113,,,我已经被设定为防御状态，直到有授权工作人员输入声音代码。,我已经被设定为防御状态，直到有授权工作人员输入声音代码。,44,44,2,2,True
29,114,114,114,,,Will you disarm the systems for me?,Will you disarm the systems for me?,46,46,1,2,False
30,114,114,114,,,你会为我接触防御系统吗？,你会为我接触防御系统吗？,47,47,2,2,True
31,115,115,115,,,Good bye.,Good bye.,49,49,1,2,False
32,115,115,115,,,再见。,再见。,50,50,2,2,True
33,116,116,116,,,Voice override: Gamma Delta Delta. Disarm all systems.,Voice override: Gamma Delta Delta. Disarm all systems.,52,52,1,2,False
34,116,116,116,,,声音改变：伽马、德尔塔、贝塔。所有系统防御解除。,声音改变：伽马、德尔塔、贝塔。所有系统防御解除。,53,53,2,2,True
35,117,117,117,,,You are not authorized. Access denied.,You are not authorized. Access denied.,55,55,1,2,False
36,117,117,117,,,你不是工作人员。认证失败。,你不是工作人员。认证失败。,56,56,2,2,True
37,118,118,118,,,Invalid code. Access denied.,Invalid code. Access denied.,58,58,1,2,False
38,118,118,118,,,错误的密码。认证失败。,错误的密码。认证失败。,59,59,2,2,True
39,119,119,119,,,Voice override: Gamma Omicron Delta. Disarm systems.,Voice override: Gamma Omicron Delta. Disarm systems.,61,61,1,2,False
40,119,119,119,,,声音改变：伽马－欧米咖－德尔塔。系统防御解除。,声音改变：伽马－欧米咖－德尔塔。系统防御解除。,62,62,2,2,True
