occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Estás viendo al guardián del agua.,Estás viendo al guardián del agua.,1,1,1,1,True
2,101,101,101,,,"Hola, ","Hola, ",2,2,1,1,True
3,102,102,102,,,. ,. ,3,3,1,1,True
4,103,103,103,,,Hola. ¿Cómo te va?,Hola. ¿Cómo te va?,4,4,1,1,True
5,104,104,104,,,¡Gahh!,¡Gahh!,5,5,1,1,True
6,105,105,105,,,¡Bien Gahh! Sigo contigo . . . siento que nunca aprendieras a hablar. Podíamos haber sido buenos amigos.,"¡Bien Gahh! Sigo contigo . . . siento que nunca aprendieras a
 hablar. Podíamos haber sido buenos amigos.",6,7,1,1,True
7,106,106,106,,,Ouph.,Ouph.,8,8,1,1,True
8,107,107,107,,,No me siento muy bien. Alguien me golpeó la cabeza con un enorme palo. Fui al médico pero todavía me duele la cabeza. Espero que alguien coja al cabrón que me golpeó.,"No me siento muy bien. Alguien me golpeó la cabeza
 con un enorme palo. Fui al médico pero todavía me duele la cabeza.
 Espero que alguien coja al cabrón que me golpeó.",9,11,1,1,True
9,108,108,108,,,¿Por qué lo han hecho?,¿Por qué lo han hecho?,12,12,1,1,True
10,109,109,109,,,Guck.,Guck.,13,13,1,1,True
11,110,110,110,,,"Pues me atacaron una noche que estuve aquí hasta muy tarde. Normalmente me voy a casa a las ocho o así, pero aquella noche me quedé hasta tarde porque alguien había robado agua y tenía que comprobar las existencias. Lo siguiente que recuerdo es que me desperté en el laboratorio con un gran chichón en la cabeza. Las cosas se están yendo de las manos por aquí. Pronto alguien va a morir por un poco de agua y no sé qué podemos hacer.","Pues me atacaron una noche que estuve aquí hasta muy tarde. Normalmente me
 voy a casa a las ocho o así, pero aquella noche me quedé hasta tarde porque alguien había robado agua
 y tenía que comprobar las existencias. Lo siguiente que recuerdo es que me desperté en el laboratorio con
 un gran chichón en la cabeza. Las cosas se están yendo de las manos por aquí.
 Pronto alguien va a morir por un poco de agua y no sé
 qué podemos hacer.",14,19,1,1,True
12,111,111,111,,,Sé lo que puedo hacer.,Sé lo que puedo hacer.,20,20,1,1,True
13,112,112,112,,,Lo siento. Espero que te sientas mejor pronto.,Lo siento. Espero que te sientas mejor pronto.,21,21,1,1,True
14,113,113,113,,,Aquí está tu agua.,Aquí está tu agua.,22,22,1,1,True
15,114,114,114,,,Esta es tu ración para hoy.,Esta es tu ración para hoy.,23,23,1,1,True
16,115,115,115,,,¡Hey! ¿¡Qué crees que estás haciendo!?,¡Hey! ¿¡Qué crees que estás haciendo!?,24,24,1,1,True
