occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Estás viendo a Zack.,Estás viendo a Zack.,1,1,1,1,True
2,101,101,101,,,Ves a un Pistolero.,Ves a un Pistolero.,2,2,1,1,True
3,102,102,102,,,"Hola, soy Zack. ¿Quieres comprar armas? Déjeme ver qué tienes para comerciar.","Hola, soy Zack. ¿Quieres comprar armas? Déjeme ver qué tienes para comerciar.",3,3,1,1,True
4,103,103,103,,,No.,No.,4,4,1,1,True
5,104,104,104,,,De acuerdo.,De acuerdo.,5,5,1,1,True
6,105,105,105,,,¿Puedes hacerme un descuento?,¿Puedes hacerme un descuento?,6,6,1,1,True
7,106,106,106,,,¿Quieres comprar armas? Déjame ver lo que llevas.,¿Quieres comprar armas? Déjame ver lo que llevas.,7,7,1,1,True
8,107,107,107,,,Siento molestarte.,Siento molestarte.,8,8,1,1,True
9,108,108,108,,,Me gusta hacer negocios contigo.,Me gusta hacer negocios contigo.,9,9,1,1,True
10,109,109,109,,,,,10,10,1,1,True
11,110,110,110,,,Vale. Vuelve si necesitas algo.,Vale. Vuelve si necesitas algo.,11,11,1,1,True
12,111,111,111,,,Será mejor que te decidas rápido. ¿Estás aquí para comprar equipos o sólo has venido para que te mate?,"Será mejor que te decidas rápido. ¿Estás aquí para
 comprar equipos o sólo has venido para que te mate?",12,13,1,1,True
13,112,112,112,,,Tienes un verdadero problema de comportamiento.,Tienes un verdadero problema de comportamiento.,14,14,1,1,True
14,113,113,113,,,"Lo siento, quizá pueda usar algo del equipo después de todo.","Lo siento, quizá pueda usar algo del equipo después de todo.",15,15,1,1,True
15,114,114,114,,,¿Entonces qué diablos estás haciendo aquí?,¿Entonces qué diablos estás haciendo aquí?,16,16,1,1,True
16,115,115,115,,,Nada.,Nada.,17,17,1,1,True
17,116,116,116,,,Claro.,Claro.,18,18,1,1,True
18,117,117,117,,,"Sí, pero hasta que Gabriel lo diga, tienes que pagar el precio normal como todo el mundo.","Sí, pero hasta que Gabriel lo diga, tienes que pagar
 el precio normal como todo el mundo.",19,20,1,1,True
19,118,118,118,,,No sé nada de eso.,No sé nada de eso.,21,21,1,1,True
20,119,119,119,,,De todas formas enséñame lo que tienes.,De todas formas enséñame lo que tienes.,22,22,1,1,True
21,120,120,120,,,¡Fantástico! Enséñame lo que tienes.,¡Fantástico! Enséñame lo que tienes.,23,23,1,1,True
22,121,121,121,,,Vendré en otro momento a por ese descuento.,Vendré en otro momento a por ese descuento.,24,24,1,1,True
23,122,122,122,,,¿Puedes hacerme una rebaja mayor?,¿Puedes hacerme una rebaja mayor?,25,25,1,1,True
24,123,123,123,,,Lo siento.  Te he rebajado todo lo que podía.,Lo siento.  Te he rebajado todo lo que podía.,26,26,1,1,True
