occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,100,100,100,,,The Raider is too frightened of Garl to speak to you anymore.,The Raider is too frightened of Garl to speak to you anymore.,4,4,1,2,False
4,100,100,100,,,强盗们因为太惧怕伽尔，所以不再敢和你说话了。,强盗们因为太惧怕伽尔，所以不再敢和你说话了。,5,5,2,2,True
5,101,101,101,,,You see a tough desert Raider.,You see a tough desert Raider.,7,7,1,2,False
6,101,101,101,,,你看见一名凶恶的沙漠强盗。,你看见一名凶恶的沙漠强盗。,8,8,2,2,True
7,102,102,102,,,It's the Death-Hand. He's returned!,It's the Death-Hand. He's returned!,10,10,1,2,False
8,102,102,102,,,那是死亡之手。他回来了！,那是死亡之手。他回来了！,11,11,2,2,True
9,103,103,103,,,"Excuse me, Death-Hand. I'm sorry to disturb you.","Excuse me, Death-Hand. I'm sorry to disturb you.",13,13,1,2,False
10,103,103,103,,,抱歉，死亡之手。很遗憾打扰你。,抱歉，死亡之手。很遗憾打扰你。,14,14,2,2,True
11,104,104,104,,,Have you come back to kill your son?,Have you come back to kill your son?,16,16,1,2,False
12,104,104,104,,,你回来是为了杀了你的儿子吗？,你回来是为了杀了你的儿子吗？,17,17,2,2,True
13,105,105,105,,,Aiyeee! A ghost!,Aiyeee! A ghost!,19,19,1,2,False
14,105,105,105,,,哎呀呀！鬼魂！,哎呀呀！鬼魂！,20,20,2,2,True
15,106,106,106,,,The dead walk again! The Death-Hand has returned!,The dead walk again! The Death-Hand has returned!,22,22,1,2,False
16,106,106,106,,,死者再次行走于世间！死亡之手回来了！,死者再次行走于世间！死亡之手回来了！,23,23,2,2,True
17,107,107,107,,,Well met.,Well met.,25,25,1,2,False
18,107,107,107,,,来得好，欢迎。,来得好，欢迎。,26,26,2,2,True
19,108,108,108,,,Hi.,Hi.,28,28,1,2,False
20,108,108,108,,,好啊。,好啊。,29,29,2,2,True
21,109,109,109,,,I'm waiting for Garl to crush Shady Sands. I want some loot.,I'm waiting for Garl to crush Shady Sands. I want some loot.,31,31,1,2,False
22,109,109,109,,,我在等伽尔去踏平沙荫镇。我想搞点战利品。,我在等伽尔去踏平沙荫镇。我想搞点战利品。,32,32,2,2,True
23,110,110,110,,,"Welcome, friend.","Welcome, friend.",34,34,1,2,False
24,110,110,110,,,欢迎，我的朋友。,欢迎，我的朋友。,35,35,2,2,True
25,111,111,111,,,I'm glad that you could return for a visit.,I'm glad that you could return for a visit.,37,37,1,2,False
26,111,111,111,,,我很高兴你能回来看看。,我很高兴你能回来看看。,38,38,2,2,True
27,112,112,112,,,"Unless you want trouble, you'd better put that away.","Unless you want trouble, you'd better put that away.",40,40,1,2,False
28,112,112,112,,,把它收起来，除非你想惹麻烦。,把它收起来，除非你想惹麻烦。,41,41,2,2,True
29,113,113,113,,,"Do you want to party? If not, put your weapon away.","Do you want to party? If not, put your weapon away.",43,43,1,2,False
30,113,113,113,,,你想干一场吗？不想的话就把武器收起来。,你想干一场吗？不想的话就把武器收起来。,44,44,2,2,True
31,114,114,114,,,"Oh, a tough one, huh?","Oh, a tough one, huh?",46,46,1,2,False
32,114,114,114,,,哦，一个顽固的家伙，嗯哼？,哦，一个顽固的家伙，嗯哼？,47,47,2,2,True
33,115,115,115,,,Garl Death-Hand loves his warriors. Put that thing away and go talk to him.,Garl Death-Hand loves his warriors. Put that thing away and go talk to him.,49,49,1,2,False
34,115,115,115,,,死亡之手伽尔珍爱他的战士。把家伙收起来，去和他谈谈吧。,死亡之手伽尔珍爱他的战士。把家伙收起来，去和他谈谈吧。,50,50,2,2,True
35,116,116,116,,,"So, you think you're tough, huh? Mess with me and we'll both find out.","So, you think you're tough, huh? Mess with me and we'll both find out.",52,52,1,2,False
36,116,116,116,,,你觉得你够狠，嗯？那就让我们俩来试试谁更历害。,你觉得你够狠，嗯？那就让我们俩来试试谁更历害。,53,53,2,2,True
37,117,117,117,,,I don't like your looks.,I don't like your looks.,55,55,1,2,False
38,117,117,117,,,我不喜欢你的眼神。,我不喜欢你的眼神。,56,56,2,2,True
39,118,118,118,,,Go away!,Go away!,58,58,1,2,False
40,118,118,118,,,滚开！,滚开！,59,59,2,2,True
41,119,119,119,,,What do you want?,What do you want?,61,61,1,2,False
42,119,119,119,,,你要什么？,你要什么？,62,62,2,2,True
43,120,120,120,,,I'm looking for a woman named Tandi. Seen her?,I'm looking for a woman named Tandi. Seen her?,64,64,1,2,False
44,120,120,120,,,我在寻找一名叫做坦蒂的女人。见过她吗？,我在寻找一名叫做坦蒂的女人。见过她吗？,65,65,2,2,True
45,121,121,121,,,Nothing. Just looking around.,Nothing. Just looking around.,67,67,1,2,False
46,121,121,121,,,没什么。只是四处看看。,没什么。只是四处看看。,68,68,2,2,True
47,122,122,122,,,Huh?,Huh?,70,70,1,2,False
48,122,122,122,,,呃啊？,呃啊？,71,71,2,2,True
49,123,123,123,,,Oh. You must be looking for a job. Go and see Garl in the big room and leave us alone.,Oh. You must be looking for a job. Go and see Garl in the big room and leave us alone.,73,73,1,2,False
50,123,123,123,,,哦。你一定是在找活儿干。去大房间里找伽尔吧，离我们远点。,哦。你一定是在找活儿干。去大房间里找伽尔吧，离我们远点。,74,74,2,2,True
