occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Estás viendo a un miembro de los demonios.,Estás viendo a un miembro de los demonios.,1,1,1,1,True
2,101,101,101,,,¿Qué haces aquí? Dame una respuesta inteligente. Puede que sea tu única oportunidad . . .,"¿Qué haces aquí? Dame una respuesta inteligente. Puede que sea
 tu única oportunidad . . .",2,3,1,1,True
3,102,102,102,,,Estoy buscando al jefe.,Estoy buscando al jefe.,4,4,1,1,True
4,103,103,103,,,Este establecimiento está condenado - He venido a dar la noticia final.,Este establecimiento está condenado - He venido a dar la noticia final.,5,5,1,1,True
5,104,104,104,,,"Lo siento, sólo echaba un vistazo.","Lo siento, sólo echaba un vistazo.",6,6,1,1,True
6,105,105,105,,,Ehh.,Ehh.,7,7,1,1,True
7,106,106,106,,,"Set no está aquí, así que vete.","Set no está aquí, así que vete.",8,8,1,1,True
8,107,107,107,,,"Oh, bien. Adiós.","Oh, bien. Adiós.",9,9,1,1,True
9,108,108,108,,,"Bien, cuando encuentre a ese hijo de perra, haré que nadie pueda reconocerlo.","Bien, cuando encuentre a ese hijo de perra, haré que
 nadie pueda reconocerlo.",10,11,1,1,True
10,109,109,109,,,"Bien, entonces te convertirás en mi saco de boxeo.","Bien, entonces te convertirás en mi saco de boxeo.",12,12,1,1,True
11,110,110,110,,,Tienes algunos problemas mentales para trabajar. Set no permitirá que un perdedor como tú se encargue de ello. Él tiene guardias y armas.,"Tienes algunos problemas mentales para trabajar. Set no permitirá que un perdedor como tú se encargue de ello. Él tiene guardias
 y armas.",13,14,1,1,True
12,111,111,111,,,¿Cuántos guardias?,¿Cuántos guardias?,15,15,1,1,True
13,112,112,112,,,¿Qué haces aquí?,¿Qué haces aquí?,16,16,1,1,True
14,113,113,113,,,"Set siempre está acompañado por dos guardias por lo menos, pero pueden venir diez más si los necesita. Y cuando se encuentra en su sala del trono, esos diez guardias se mantienen alejados de él.","Set siempre está acompañado por dos guardias por lo menos,
 pero pueden venir diez más si los necesita. Y cuando
 se encuentra en su sala del trono, esos diez guardias se mantienen
 alejados de él.",17,20,1,1,True
15,114,114,114,,,"Entonces, ¿Qué haces aquí?","Entonces, ¿Qué haces aquí?",21,21,1,1,True
16,115,115,115,,,"No te estoy diciendo eso. ¿Qué te crees, que soy idiota? Ahora vete.","No te estoy diciendo eso. ¿Qué te crees, que soy idiota?
 Ahora vete.",22,23,1,1,True
17,116,116,116,,,He de asegurarme de que nadie pasa. Esta es una casa de Zombies.,He de asegurarme de que nadie pasa. Esta es una casa de Zombies.,24,24,1,1,True
18,117,117,117,,,¿Qué es un Zombie?,¿Qué es un Zombie?,25,25,1,1,True
19,118,118,118,,,"Bien, que tengas un buen día.","Bien, que tengas un buen día.",26,26,1,1,True
20,119,119,119,,,"No qué . . . QUIÉN. Somos los Zombies. Si lo hacemos bien, Set nos hará uno de sus guardias. Eso es todo lo que puedo decirte.","No qué . . . QUIÉN. Somos los Zombies. Si lo hacemos bien, Set nos
 hará uno de sus guardias. Eso es todo lo que puedo decirte.",27,28,1,1,True
21,120,120,120,,,¿Por qué quieres ser uno de sus guardias?,¿Por qué quieres ser uno de sus guardias?,29,29,1,1,True
22,121,121,121,,,Adiós.,Adiós.,30,30,1,1,True
23,122,122,122,,,Te he dicho que es todo lo que puedo decirte. Ahora vete.,Te he dicho que es todo lo que puedo decirte. Ahora vete.,31,31,1,1,True
24,123,123,123,,,Estás loco. ¿Qué te crees  que es esto? Mejor será que te vayas.,Estás loco. ¿Qué te crees  que es esto? Mejor será que te vayas.,32,32,1,1,True
25,124,124,124,,,"No, quiero entrar.","No, quiero entrar.",33,33,1,1,True
26,125,125,125,,,Vale. Ya me voy.,Vale. Ya me voy.,34,34,1,1,True
27,126,126,126,,,No creo. Vete antes de que llame a los chicos y te partan la cara.,"No creo. Vete antes de que llame a los chicos y te partan
 la cara.",35,36,1,1,True
28,127,127,127,,,¿Es una amenaza?,¿Es una amenaza?,37,37,1,1,True
29,128,128,128,,,Sí.,Sí.,38,38,1,1,True
30,129,129,129,,,Lo era. Ahora es una hecho. ¡ZOMBIES!,Lo era. Ahora es una hecho. ¡ZOMBIES!,39,39,1,1,True
31,130,130,130,,,No aparezcas por aquí si amas la vida.,No aparezcas por aquí si amas la vida.,40,40,1,1,True
32,131,131,131,,,"Eh, Zombies, ¡TENEMOS UN SACO DE BOXEO!","Eh, Zombies, ¡TENEMOS UN SACO DE BOXEO!",41,41,1,1,True
33,132,132,132,,,Deberías irte.,Deberías irte.,42,42,1,1,True
