occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,100,100,100,,,You see Deputy Kenny.,You see Deputy Kenny.,4,4,1,2,False
4,101,101,101,,,"If you have business with the Hub police, please talk to Sheriff Greene.  I only take care of his duties when the # Sheriff is unavailable.","If you have business with the Hub police, please talk to Sheriff Greene.  I only take care of his duties when the
 # Sheriff is unavailable.",5,6,1,2,False
5,102,102,102,,,I can't believe the Sheriff is really dead.,I can't believe the Sheriff is really dead.,7,7,1,2,False
6,103,103,103,,,There you are.  I've been waiting for you to return.  We heard the Sheriff was killed during the battle.  # It's hard to believe he's really gone.  He was like a father to me.,"There you are.  I've been waiting for you to return.  We heard the Sheriff was killed during the battle.
  # It's hard to believe he's really gone.  He was like a father to me.",8,9,1,2,False
7,104,104,104,,,The Sheriff gave me instructions to carry out in the event that he did not return from the mission.  He # asked me to give you the remainder of your reward.  I believe it was 1000 caps.  【The Deputy hands you 1000 caps】,"The Sheriff gave me instructions to carry out in the event that he did not return from the mission.  He
 # asked me to give you the remainder of your reward.  I believe it was 1000 caps.  【The Deputy hands you 1000 caps】",10,11,1,2,False
8,105,105,105,,,This city owes you a debt of thanks.  I only wish the Sheriff could be here to thank you himself.  Goodbye.,This city owes you a debt of thanks.  I only wish the Sheriff could be here to thank you himself.  Goodbye.,12,12,1,2,False
9,106,106,106,,,Oh my God!  They killed Kenny!  Those bastards!,Oh my God!  They killed Kenny!  Those bastards!,13,13,1,2,False
10,100,100,100,,,你看到代理警长肯尼。,你看到代理警长肯尼。,14,14,2,2,True
11,101,101,101,,,如果你有事要找哈勃城的警官，请你去和治安官格林说，我只是在警长不在的时候替他处理一些杂事。,如果你有事要找哈勃城的警官，请你去和治安官格林说，我只是在警长不在的时候替他处理一些杂事。,15,15,2,2,True
12,102,102,102,,,我不敢相信警长他真的死了。,我不敢相信警长他真的死了。,16,16,2,2,True
13,103,103,103,,,你来了啊，我等你很久了。听说警长殉职了，没想到他真的死了。我一直把他当作我的父亲一样。,你来了啊，我等你很久了。听说警长殉职了，没想到他真的死了。我一直把他当作我的父亲一样。,17,17,2,2,True
14,104,104,104,,,警长和我们一起执行任务的时候告诉我，如果他没能活着回来，那么就由我把剩余的酬金给你，我想那应该是1000个瓶盖。【代理警长把1000个瓶盖交给你】,警长和我们一起执行任务的时候告诉我，如果他没能活着回来，那么就由我把剩余的酬金给你，我想那应该是1000个瓶盖。【代理警长把1000个瓶盖交给你】,18,18,2,2,True
15,105,105,105,,,这座城市欠你太多了。我真希望警长本人能亲自来感谢你！再见了朋友。,这座城市欠你太多了。我真希望警长本人能亲自来感谢你！再见了朋友。,19,19,2,2,True
16,106,106,106,,,哦我的天啊！他们杀了肯尼！那些狗养的。,哦我的天啊！他们杀了肯尼！那些狗养的。,20,20,2,2,True
