occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,There is a grenade rigged underneath this floor panel.,There is a grenade rigged underneath this floor panel.,2,2,1,2,False
2,101,101,101,,, It is not armed., It is not armed.,3,3,1,2,False
3,102,102,102,,,You disarm the trap and remove the plasma grenade.,You disarm the trap and remove the plasma grenade.,4,4,1,2,False
4,103,103,103,,,You are removing the tripwire from the arming switch when you drop the pin and set off the grenade!,You are removing the tripwire from the arming switch when you drop the pin and set off the grenade!,5,5,1,2,False
5,104,104,104,,,"You try to slide the panel up slightly and remove the trap, but you are having trouble getting it up without pulling the tripwire.","You try to slide the panel up slightly and remove the trap, but you are having trouble getting it up without pulling the tripwire.",6,6,1,2,False
6,105,105,105,,,You pry up the plate but you can't get a good grip on the grenade.,You pry up the plate but you can't get a good grip on the grenade.,7,7,1,2,False
7,106,106,106,,,"You pull the plate up, but the tripwire slips from your fingers before you manage to remove it.","You pull the plate up, but the tripwire slips from your fingers before you manage to remove it.",8,8,1,2,False
8,100,100,100,,,在这地板下面有一个设置引爆的手雷。,在这地板下面有一个设置引爆的手雷。,9,9,2,2,True
9,101,101,101,,,它没有装上。,它没有装上。,10,10,2,2,True
10,102,102,102,,,你解除了陷阱并拿掉了电浆手榴弹。,你解除了陷阱并拿掉了电浆手榴弹。,11,11,2,2,True
11,103,103,103,,,在从设置开关上拆除引信的时候，你脱了手，不慎引爆了手雷。,在从设置开关上拆除引信的时候，你脱了手，不慎引爆了手雷。,12,12,2,2,True
12,104,104,104,,,你本打算把地板稍稍抬起来以解除陷阱，但那样的话又免不了会碰到拉发引线，你停住了手。,你本打算把地板稍稍抬起来以解除陷阱，但那样的话又免不了会碰到拉发引线，你停住了手。,13,13,2,2,True
13,105,105,105,,,你撬开了触动板，但是你无法拿到手榴弹。,你撬开了触动板，但是你无法拿到手榴弹。,14,14,2,2,True
14,106,106,106,,,你撬开了触动板，但是在解除装置之前，引发线从你手里滑了出去。,你撬开了触动板，但是在解除装置之前，引发线从你手里滑了出去。,15,15,2,2,True
