occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see Theresa.,You see Theresa.,1,1,1,2,False
2,100,100,100,,,你看见了特蕾莎。,你看见了特蕾莎。,2,2,2,2,True
3,101,101,101,,,"Hello, ","Hello, ",4,4,1,2,False
4,101,101,101,,,你好，,你好，,5,5,2,2,True
5,102,102,102,,,. How fares your journey?,. How fares your journey?,7,7,1,2,False
6,102,102,102,,,。你的旅程进展如何？,。你的旅程进展如何？,8,8,2,2,True
7,103,103,103,,,"It's going pretty well, thanks.","It's going pretty well, thanks.",10,10,1,2,False
8,103,103,103,,,还不错，谢谢。,还不错，谢谢。,11,11,2,2,True
9,104,104,104,,,Not very well.,Not very well.,13,13,1,2,False
10,104,104,104,,,不是很顺利。,不是很顺利。,14,14,2,2,True
11,105,105,105,,,Hoogh!,Hoogh!,16,16,1,2,False
12,105,105,105,,,唉！,唉！,17,17,2,2,True
13,106,106,106,,,"It's good to hear that. I knew that the outside world couldn't be as bad as everyone says. I mean, our ancestors lived outside, right? But that paranoid Overseer won't let us leave.","It's good to hear that. I knew that the outside world couldn't be as bad as everyone says. I mean, our ancestors lived outside, right? But that paranoid Overseer won't let us leave.",19,19,1,2,False
14,106,106,106,,,很高兴听到是这样。我就知道外面的世界不会像所有人说的那样糟。我的意思是说，我们的祖先生活在外面，对吧？但是那个妄想狂所长不会让我们离开的。,很高兴听到是这样。我就知道外面的世界不会像所有人说的那样糟。我的意思是说，我们的祖先生活在外面，对吧？但是那个妄想狂所长不会让我们离开的。,20,20,2,2,True
15,107,107,107,,,The Overseer probably has his reasons.,The Overseer probably has his reasons.,22,22,1,2,False
16,107,107,107,,,所长或许有他的理由。,所长或许有他的理由。,23,23,2,2,True
17,108,108,108,,,"Actually, it's pretty bad out there.","Actually, it's pretty bad out there.",25,25,1,2,False
18,108,108,108,,,事实上，外面确实很糟。,事实上，外面确实很糟。,26,26,2,2,True
19,109,109,109,,,You're right; the outside world isn't all that bad.,You're right; the outside world isn't all that bad.,28,28,1,2,False
20,109,109,109,,,你是对的，外面的世界不全是那么糟。,你是对的，外面的世界不全是那么糟。,29,29,2,2,True
21,110,110,110,,,The Overseer is simply trying to protect us. The outside world is dangerous to the unprepared.,The Overseer is simply trying to protect us. The outside world is dangerous to the unprepared.,31,31,1,2,False
22,110,110,110,,,所长只是想保护我们而已。外面的世界对没有准备的人来说是危险的。,所长只是想保护我们而已。外面的世界对没有准备的人来说是危险的。,32,32,2,2,True
23,111,111,111,,,"Oh, I'm sorry to hear that. I hope that you're able to find the chip soon.","Oh, I'm sorry to hear that. I hope that you're able to find the chip soon.",34,34,1,2,False
24,111,111,111,,,哦，听到这些我很遗憾。我希望不久之后你就能找到芯片。,哦，听到这些我很遗憾。我希望不久之后你就能找到芯片。,35,35,2,2,True
25,112,112,112,,,Shouldn't be a problem.,Shouldn't be a problem.,37,37,1,2,False
26,112,112,112,,,不会是什么问题。,不会是什么问题。,38,38,2,2,True
27,113,113,113,,,"With all of the hazards I've been running in to, it may take some time.","With all of the hazards I've been running in to, it may take some time.",40,40,1,2,False
28,113,113,113,,,从我曾卷入的各种危险来看，这可能会需要点时间。,从我曾卷入的各种危险来看，这可能会需要点时间。,41,41,2,2,True
29,114,114,114,,,Hmm. I suppose it was too much to hope that the outside world had taught you to communicate. Oh well.,Hmm. I suppose it was too much to hope that the outside world had taught you to communicate. Oh well.,43,43,1,2,False
30,114,114,114,,,呣呣。我想不应该寄希望于外面的世界教你沟通。哦好吧。,呣呣。我想不应该寄希望于外面的世界教你沟通。哦好吧。,44,44,2,2,True
31,115,115,115,,,And I suppose he chose you to go outside because he knew that you were under his thumb! He really just doesn't want to give up his control over us.,And I suppose he chose you to go outside because he knew that you were under his thumb! He really just doesn't want to give up his control over us.,46,46,1,2,False
32,115,115,115,,,而我想他选择了你出去是因为他知道你在他的手掌心里！他确实不愿意放弃对我们的控制。,而我想他选择了你出去是因为他知道你在他的手掌心里！他确实不愿意放弃对我们的控制。,47,47,2,2,True
33,116,116,116,,,I resent that remark!,I resent that remark!,49,49,1,2,False
34,116,116,116,,,我恨这句话！,我恨这句话！,50,50,2,2,True
35,117,117,117,,,"Actually, I think he believes that there's no reason to risk survival outside while it's still safe in here.","Actually, I think he believes that there's no reason to risk survival outside while it's still safe in here.",52,52,1,2,False
36,117,117,117,,,事实上，我认为他相信在这里还安全的时候没有必要让幸存者出去冒险。,事实上，我认为他相信在这里还安全的时候没有必要让幸存者出去冒险。,53,53,2,2,True
37,118,118,118,,,"Hmm. From what I've read, the outside isn't really all that dangerous. But I suppose that you would know better than I, wouldn't you?","Hmm. From what I've read, the outside isn't really all that dangerous. But I suppose that you would know better than I, wouldn't you?",55,55,1,2,False
38,118,118,118,,,呵呵。从我读到过的看来，外面并不真的是全然危险的，但是我想你比我更了解，不是吗？,呵呵。从我读到过的看来，外面并不真的是全然危险的，但是我想你比我更了解，不是吗？,56,56,2,2,True
39,119,119,119,,,I knew that the outside couldn't be too bad. That's why I've been trying to convince some people to come outside with me. I think that we have a better chance of survival out there.,I knew that the outside couldn't be too bad. That's why I've been trying to convince some people to come outside with me. I think that we have a better chance of survival out there.,58,58,1,2,False
40,119,119,119,,,我知道外面还不算非常糟，这就是为什么我劝说一些人和我一起出去的原因。我想我们在外面生存的可能性更大。,我知道外面还不算非常糟，这就是为什么我劝说一些人和我一起出去的原因。我想我们在外面生存的可能性更大。,59,59,2,2,True
41,120,120,120,,,What are you smoking!?,What are you smoking!?,61,61,1,2,False
42,120,120,120,,,你在抽什么！？,你在抽什么！？,62,62,2,2,True
43,121,121,121,,,That's probably a good idea.,That's probably a good idea.,64,64,1,2,False
44,121,121,121,,,这或许是个好主意。,这或许是个好主意。,65,65,2,2,True
45,122,122,122,,,"I suppose. I always figured that he just had some sort of power trip. But I guess that he wouldn't be the Overseer if he wasn't really concerned about our welfare, would he? I guess we should just wait and see if you can find the chip.","I suppose. I always figured that he just had some sort of power trip. But I guess that he wouldn't be the Overseer if he wasn't really concerned about our welfare, would he? I guess we should just wait and see if you can find the chip.",67,67,1,2,False
46,122,122,122,,,我总是认为他只是有些权力欲过剩。但是我猜如果他不真正关心我们的利益，就不会是所长，不是吗？我觉得我们应该稍等，看看你能不能找到芯片。,我总是认为他只是有些权力欲过剩。但是我猜如果他不真正关心我们的利益，就不会是所长，不是吗？我觉得我们应该稍等，看看你能不能找到芯片。,68,68,2,2,True
47,123,123,123,,,"Don't worry, I'll take care of it.","Don't worry, I'll take care of it.",70,70,1,2,False
48,123,123,123,,,别担心，我会处理的。,别担心，我会处理的。,71,71,2,2,True
49,124,124,124,,,"Oh, come on! Wake up! If he thinks the outside is so dangerous, then how come he sent you out there? The man just has a control complex. You're a stupid tool and you don't even know it!","Oh, come on! Wake up! If he thinks the outside is so dangerous, then how come he sent you out there? The man just has a control complex. You're a stupid tool and you don't even know it!",73,73,1,2,False
50,124,124,124,,,哦，快点！醒醒吧！如果他认为外面如此危险的话，那他为什么他把你派出去？这人只是有一种控制欲而已。你只是个没有思想的工具，你自己甚至都没有注意到！,哦，快点！醒醒吧！如果他认为外面如此危险的话，那他为什么他把你派出去？这人只是有一种控制欲而已。你只是个没有思想的工具，你自己甚至都没有注意到！,74,74,2,2,True
51,125,125,125,,,"Honestly, if he thought that the outside was that dangerous, he'd have sent a whole team with weapons and equipment, not just you. But you're his pawn, since he doesn't want anyone to realize what they're missing.","Honestly, if he thought that the outside was that dangerous, he'd have sent a whole team with weapons and equipment, not just you. But you're his pawn, since he doesn't want anyone to realize what they're missing.",76,76,1,2,False
52,125,125,125,,,说实话，如果他认为外面那么危险的话，他应该派出一整支武装齐全的小队，而不只是你一个人。但你是他的卒子，因为他不想让任何人知道他们遗漏了什么。,说实话，如果他认为外面那么危险的话，他应该派出一整支武装齐全的小队，而不只是你一个人。但你是他的卒子，因为他不想让任何人知道他们遗漏了什么。,77,77,2,2,True
53,126,126,126,,,"Oh, get real! Do you really think that we can live in this Vault generation after generation? Maybe you can find a new chip, but what happens when the next thing breaks down? And the next?","Oh, get real! Do you really think that we can live in this Vault generation after generation? Maybe you can find a new chip, but what happens when the next thing breaks down? And the next?",79,79,1,2,False
54,126,126,126,,,哦，回到现实中来吧！你真的认为我们能一代又一代的活在这个避难所里吗？或许你能找到一块新的芯片，可如果这块又坏了怎么办？再下一块又坏了怎么办？,哦，回到现实中来吧！你真的认为我们能一代又一代的活在这个避难所里吗？或许你能找到一块新的芯片，可如果这块又坏了怎么办？再下一块又坏了怎么办？,80,80,2,2,True
55,127,127,127,,,Huh. I guess you're right.,Huh. I guess you're right.,82,82,1,2,False
56,127,127,127,,,呼。我想你可能是对的。,呼。我想你可能是对的。,83,83,2,2,True
57,128,128,128,,,Maybe we can't stay here forever. But rushing out into the world without preparation and without the consent of the group isn't the answer.,Maybe we can't stay here forever. But rushing out into the world without preparation and without the consent of the group isn't the answer.,85,85,1,2,False
58,128,128,128,,,或许我们不能永远呆在这里。但是不做准备又没有集体的支持就冲到外面的世界去并不是个好主意。,或许我们不能永远呆在这里。但是不做准备又没有集体的支持就冲到外面的世界去并不是个好主意。,86,86,2,2,True
59,129,129,129,,,"A lot of us think so. That's why we're planning to take some supplies and head out in a few days. Say, do you have any advice for us?","A lot of us think so. That's why we're planning to take some supplies and head out in a few days. Say, do you have any advice for us?",88,88,1,2,False
60,129,129,129,,,我们很多人是这么想的。这就是为什么我们正在计划搞些补给，准备出去几天看看，你能给我们出些主意吗？,我们很多人是这么想的。这就是为什么我们正在计划搞些补给，准备出去几天看看，你能给我们出些主意吗？,89,89,2,2,True
61,130,130,130,,,"Sorry, I haven't really found much out there.","Sorry, I haven't really found much out there.",91,91,1,2,False
62,130,130,130,,,抱歉，我并没有在外面找到什么。,抱歉，我并没有在外面找到什么。,92,92,2,2,True
63,131,131,131,,,"You could head to this little village called Shady Sands, a few days east. They might help.","You could head to this little village called Shady Sands, a few days east. They might help.",94,94,1,2,False
64,131,131,131,,,你可以到一个叫做沙荫镇的村庄去看看，向东几天路程。他们说不定会有所帮助。,你可以到一个叫做沙荫镇的村庄去看看，向东几天路程。他们说不定会有所帮助。,95,95,2,2,True
65,132,132,132,,,"Okay. Well, thanks.","Okay. Well, thanks.",97,97,1,2,False
66,132,132,132,,,行。好的，谢谢了。,行。好的，谢谢了。,98,98,2,2,True
67,133,133,133,,,"Oh, just go away! We don't need the help of one of the Overseer's pawns!","Oh, just go away! We don't need the help of one of the Overseer's pawns!",100,100,1,2,False
68,133,133,133,,,哦，快走开吧！我们不需要所长爪牙的帮助！,哦，快走开吧！我们不需要所长爪牙的帮助！,101,101,2,2,True
69,134,134,134,,,"Welcome to our meeting! As you have been picked by the Overseer to go outside, perhaps you can give us some advice before our move to the outdoors as well.","Welcome to our meeting! As you have been picked by the Overseer to go outside, perhaps you can give us some advice before our move to the outdoors as well.",103,103,1,2,False
70,134,134,134,,,欢迎来参加我们的会议！既然你已经被所长选中外出，那么或许在我们出门之前，你最好能够给我们一些建议。,欢迎来参加我们的会议！既然你已经被所长选中外出，那么或许在我们出门之前，你最好能够给我们一些建议。,104,104,2,2,True
71,135,135,135,,,Don't drink glowing water.,Don't drink glowing water.,106,106,1,2,False
72,135,135,135,,,别喝发光发热的水。,别喝发光发热的水。,107,107,2,2,True
73,136,136,136,,,Yeah . . . don't go.,Yeah . . . don't go.,109,109,1,2,False
74,136,136,136,,,是的……别出去。,是的……别出去。,110,110,2,2,True
75,137,137,137,,,I think that your plans to leave are ill-advised.,I think that your plans to leave are ill-advised.,112,112,1,2,False
76,137,137,137,,,我觉得你那离开的计划不是个好主意。,我觉得你那离开的计划不是个好主意。,113,113,2,2,True
77,138,138,138,,,Hoooot!,Hoooot!,115,115,1,2,False
78,138,138,138,,,好烫！,好烫！,116,116,2,2,True
79,139,139,139,,,Thank you so much. I can see you're going to be a big help. Why don't you just leave?,Thank you so much. I can see you're going to be a big help. Why don't you just leave?,118,118,1,2,False
80,139,139,139,,,真是太感谢你了。我能预见到你会是个“有力”的帮手。你为什么不快点滚开呢？,真是太感谢你了。我能预见到你会是个“有力”的帮手。你为什么不快点滚开呢？,119,119,2,2,True
81,140,140,140,,,"Sorry, I'm here to hear all of this.","Sorry, I'm here to hear all of this.",121,121,1,2,False
82,140,140,140,,,抱歉，我在这里听到了所有的东西。,抱歉，我在这里听到了所有的东西。,122,122,2,2,True
83,141,141,141,,,Fine then.,Fine then.,124,124,1,2,False
84,141,141,141,,,那么好吧。,那么好吧。,125,125,2,2,True
85,142,142,142,,,"Really? Considering our position, our lack of water, and the original purpose of this Vault, why do you think that we should stay?","Really? Considering our position, our lack of water, and the original purpose of this Vault, why do you think that we should stay?",127,127,1,2,False
86,142,142,142,,,真的？考虑到我们的情况，净水的缺乏以及这避难所最初修建的目的，你觉得我们有什么理由留在这里？,真的？考虑到我们的情况，净水的缺乏以及这避难所最初修建的目的，你觉得我们有什么理由留在这里？,128,128,2,2,True
87,143,143,143,,,"It's just a bad idea, is all.","It's just a bad idea, is all.",130,130,1,2,False
88,143,143,143,,,这是个坏主意，完全的坏主意。,这是个坏主意，完全的坏主意。,131,131,2,2,True
89,144,144,144,,,The outside world is too dangerous to the unprepared. It's best to have time to make proper preparations before going. The Overseer is trying to give the Vault that needed time.,The outside world is too dangerous to the unprepared. It's best to have time to make proper preparations before going. The Overseer is trying to give the Vault that needed time.,133,133,1,2,False
90,144,144,144,,,外面的世界对于全无准备的人来说太过危险。在出发之前最好做好合适的准备。所长就是在试着给避难所的人们所需要的时间。,外面的世界对于全无准备的人来说太过危险。在出发之前最好做好合适的准备。所长就是在试着给避难所的人们所需要的时间。,134,134,2,2,True
91,145,145,145,,,"Well, considering that you have some experience with the outside, perhaps you have some valuable points to make.","Well, considering that you have some experience with the outside, perhaps you have some valuable points to make.",136,136,1,2,False
92,145,145,145,,,好吧，考虑到你对外面的世界有所了解，或许你的观点是有价值的。,好吧，考虑到你对外面的世界有所了解，或许你的观点是有价值的。,137,137,2,2,True
93,146,146,146,,,The outside is too dangerous and hostile. You wouldn't last long.,The outside is too dangerous and hostile. You wouldn't last long.,139,139,1,2,False
94,146,146,146,,,外面的世界充满敌意和危险。你们活不了多长时间。,外面的世界充满敌意和危险。你们活不了多长时间。,140,140,2,2,True
95,147,147,147,,,I just need a little more time to find the water chip.,I just need a little more time to find the water chip.,142,142,1,2,False
96,147,147,147,,,我只要再多一点时间就能找到净水芯片了。,我只要再多一点时间就能找到净水芯片了。,143,143,2,2,True
97,148,148,148,,,"If you can't give us good reasons why we shouldn't leave, then we're not going to wait here and die of water poisoning. Please don't get in our way.","If you can't give us good reasons why we shouldn't leave, then we're not going to wait here and die of water poisoning. Please don't get in our way.",145,145,1,2,False
98,148,148,148,,,如果你给不出不让我们离开的好理由，那我们再也不会在这里坐等有毒废水弄死自己了。请别挡着我们的路。,如果你给不出不让我们离开的好理由，那我们再也不会在这里坐等有毒废水弄死自己了。请别挡着我们的路。,146,146,2,2,True
99,149,149,149,,,"Sorry, folks, I can't let you do this.","Sorry, folks, I can't let you do this.",148,148,1,2,False
100,149,149,149,,,抱歉，各位，我不能让你们这么做。,抱歉，各位，我不能让你们这么做。,149,149,2,2,True
101,150,150,150,,,Very well. It's your choice.,Very well. It's your choice.,151,151,1,2,False
102,150,150,150,,,很好。这是你的选择。,很好。这是你的选择。,152,152,2,2,True
103,151,151,151,,,It's only a matter of time before we run out of water here. But the Vault was never meant to keep people inside forever! We have the people and the supplies to move outside now. We have a better chance.,It's only a matter of time before we run out of water here. But the Vault was never meant to keep people inside forever! We have the people and the supplies to move outside now. We have a better chance.,154,154,1,2,False
104,151,151,151,,,我们停水只不过是时间问题了。而避难所并不意味着让里面的居民永远停留其中！我们现在有人员和给养转移到外界。我们的有更好的生存机会。,我们停水只不过是时间问题了。而避难所并不意味着让里面的居民永远停留其中！我们现在有人员和给养转移到外界。我们的有更好的生存机会。,155,155,2,2,True
105,152,152,152,,,Outside is too dangerous.,Outside is too dangerous.,157,157,1,2,False
106,152,152,152,,,外面太危险了。,外面太危险了。,158,158,2,2,True
107,153,153,153,,,"The Vault was made to release its inhabitants together as a group, not as a small band that will be quickly overwhelmed.","The Vault was made to release its inhabitants together as a group, not as a small band that will be quickly overwhelmed.",160,160,1,2,False
108,153,153,153,,,建造避难所是为了让它的居民成为社群，而不是一个很快会消亡的小团体。,建造避难所是为了让它的居民成为社群，而不是一个很快会消亡的小团体。,161,161,2,2,True
109,154,154,154,,,"Hmm. Perhaps you're right. There are probably other survivors out there, and they could be hostile, too. I guess we will need to wait for everyone else to be ready.","Hmm. Perhaps you're right. There are probably other survivors out there, and they could be hostile, too. I guess we will need to wait for everyone else to be ready.",163,163,1,2,False
110,154,154,154,,,呣呣。可能你是对的。外面或许还有其他的幸存者，他们也有可能是敌对的。我想我们需要等到其他人都准备好。,呣呣。可能你是对的。外面或许还有其他的幸存者，他们也有可能是敌对的。我想我们需要等到其他人都准备好。,164,164,2,2,True
111,155,155,155,,,We're well-prepared now. We have equipment and simulator training. A few hazards outside are better than dying slowly of thirst!,We're well-prepared now. We have equipment and simulator training. A few hazards outside are better than dying slowly of thirst!,166,166,1,2,False
112,155,155,155,,,我们现在已经准备得很充分了。我们有装备，进行了模拟训练。外面的危险总比慢慢渴死的好！,我们现在已经准备得很充分了。我们有装备，进行了模拟训练。外面的危险总比慢慢渴死的好！,167,167,2,2,True
113,156,156,156,,,"Sorry, I can't let you leave now.","Sorry, I can't let you leave now.",169,169,1,2,False
114,156,156,156,,,抱歉，我现在不能让你离开。,抱歉，我现在不能让你离开。,170,170,2,2,True
115,157,157,157,,,"Well, good luck then.","Well, good luck then.",172,172,1,2,False
116,157,157,157,,,好吧，那么祝好运。,好吧，那么祝好运。,173,173,2,2,True
117,158,158,158,,,"I don't like it, but I suppose we will wait until everyone is ready to leave together.","I don't like it, but I suppose we will wait until everyone is ready to leave together.",175,175,1,2,False
118,158,158,158,,,我并不喜欢这样，但是我想我们会等待，直到所有人都一起离开。,我并不喜欢这样，但是我想我们会等待，直到所有人都一起离开。,176,176,2,2,True
119,159,159,159,,,"It's for the best. Trust me, I know what I'm talking about.","It's for the best. Trust me, I know what I'm talking about.",178,178,1,2,False
120,159,159,159,,,那样最好。相信我，我知道我在说什么。,那样最好。相信我，我知道我在说什么。,179,179,2,2,True
121,160,160,160,,,Thank you all for coming again.,Thank you all for coming again.,181,181,1,2,False
122,160,160,160,,,无论如何，谢谢你再次过来。,无论如何，谢谢你再次过来。,182,182,2,2,True
123,161,161,161,,,Our plans are moving forward still.,Our plans are moving forward still.,184,184,1,2,False
124,161,161,161,,,我们的计划仍在进行中。,我们的计划仍在进行中。,185,185,2,2,True
125,162,162,162,,,We are gathering more converts every week.,We are gathering more converts every week.,187,187,1,2,False
126,162,162,162,,,每个礼拜都有更多人加入我们。,每个礼拜都有更多人加入我们。,188,188,2,2,True
127,163,163,163,,,"Soon, we will have access to the gear we need.","Soon, we will have access to the gear we need.",190,190,1,2,False
128,163,163,163,,,很快，我们就能够使用我们需要的装备了。,很快，我们就能够使用我们需要的装备了。,191,191,2,2,True
129,164,164,164,,,The water chip still has not been found. We must move soon.,The water chip still has not been found. We must move soon.,193,193,1,2,False
130,164,164,164,,,净水芯片还没有找到。我们必须快点行动。,净水芯片还没有找到。我们必须快点行动。,194,194,2,2,True
131,165,165,165,,,The Overseer cannot oppose such a large group.,The Overseer cannot oppose such a large group.,196,196,1,2,False
132,165,165,165,,,所长不能对抗那么大的群体。,所长不能对抗那么大的群体。,197,197,2,2,True
133,166,166,166,,,Be patient. We will only need to wait a few more weeks.,Be patient. We will only need to wait a few more weeks.,199,199,1,2,False
134,166,166,166,,,耐心点。我们只需要再等上几个星期。,耐心点。我们只需要再等上几个星期。,200,200,2,2,True
135,167,167,167,,,"Then, we will at last be free of the Vault and the Overseer.","Then, we will at last be free of the Vault and the Overseer.",202,202,1,2,False
136,167,167,167,,,然后，我们最终就能够摆脱避难所和所长了。,然后，我们最终就能够摆脱避难所和所长了。,203,203,2,2,True
137,168,168,168,,,Remember to practice your outdoor skills in the simulators!,Remember to practice your outdoor skills in the simulators!,205,205,1,2,False
138,168,168,168,,,记得在模拟器中练习你们的野外技能！,记得在模拟器中练习你们的野外技能！,206,206,2,2,True
139,169,169,169,,,"Be well, everyone.","Be well, everyone.",208,208,1,2,False
140,169,169,169,,,各位，祝好运。,各位，祝好运。,209,209,2,2,True
141,170,170,170,,,Please hurry and find the water chip. We cannot wait much longer.,Please hurry and find the water chip. We cannot wait much longer.,211,211,1,2,False
142,170,170,170,,,请尽快找到净水芯片。我们不能再等了。,请尽快找到净水芯片。我们不能再等了。,212,212,2,2,True
143,171,171,171,,,"Don't worry, I will.","Don't worry, I will.",214,214,1,2,False
