procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
1,start,1840,message_lookup,221,123,123,,,,,linked,因为杀死卫兵你得到150点经验值。,
1,start,1892,message_lookup,221,100,100,,,,,linked,一个迦克镇卫兵。,
3,guard02a,2180,message_lookup,221,101,101,,,,,linked,这里是迦克镇。如果你规矩点，这里就是一个很好的地方。,
3,guard02a,2236,message_lookup,221,102,102,,,,,linked,小心吉斯莫和他的人。,
3,guard02a,2292,message_lookup,221,103,103,,,,,linked,我喜欢我的老板。,
4,guard02b,2346,message_lookup,221,114,114,,,,,linked,违犯法律的话，我们就把你扔到没有法律的废土上去。是死是活你自己看着办。,
4,guard02b,2388,message_lookup,221,115,115,,,,,linked,你既然这么说，好吧。,
4,guard02b,2436,message_lookup,221,116,116,,,,,linked,滚你娘的法律！,
5,guard00,2490,message_lookup,221,104,104,,,,,linked,你最好把那个收起来。迦克镇是一个和平的地方，而且我们想这样继续下去。,
5,guard00,2532,message_lookup,221,105,105,,,,,linked,把什么收起来？,
5,guard00,2580,message_lookup,221,106,106,,,,,linked,别让我动手，白痴。,
5,guard00,2628,message_lookup,221,107,107,,,,,linked,听起来挺合理。顺便问问，这儿关于武器的法律是什么？,
5,guard00,2680,message_lookup,221,108,108,,,,,linked,呃 哦。,
8,guard01,2882,message_lookup,221,109,109,,,,,linked,你的武器，白痴。基利安不会缴你的械，但是你最好把你的枪乖乖地收起来。,
8,guard01,2924,message_lookup,221,110,110,,,,,linked,哦，对不起。,
8,guard01,2972,message_lookup,221,111,111,,,,,linked,没门！任何人都休想让我放下我的枪！,
10,guard02,3136,message_lookup,221,112,112,,,,,linked,你最好这么做，因为这就是法律，而且我维护着法律。把你的武器收起来，除了自卫别碰它们，何况有我们在，你是不会有麻烦的。,
10,guard02,3178,message_lookup,221,113,113,,,,,linked,【更多】,
12,guard03,3272,message_lookup,221,117,117,,,,,linked,好吧，呃，我同意。但是你最好小心点。,
12,guard03,3314,message_lookup,221,118,118,,,,,linked,那好。呵。,
13,guard04,3382,message_lookup,221,119,119,,,,,linked,问得好。除了自卫不准动用武器。如果是你先找茬，那就是你的责任。如果情况相反，反击是你的权力。没有正当理由就别碰你的刀和枪。祝你一天愉快。,
13,guard04,3424,message_lookup,221,120,120,,,,,linked,谢谢你。,
14,guard05,3478,message_lookup,221,121,121,,,,,linked,嘿，你！收起武器！我不管你妈会不会像教训小孩一样敲你的脑袋。收起你的武器！,
14,guard05,3520,message_lookup,221,122,122,,,,,linked,呸!,
