occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Voici un paysan.,Voici un paysan.,1,1,1,1,True
2,101,101,101,,,Voici Phil.,Voici Phil.,2,2,1,1,True
3,102,102,102,,,C'est pas mon chien!,C'est pas mon chien!,3,3,1,1,True
4,103,103,103,,,"Bon sang, tue-moi cette sale bête!","Bon sang, tue-moi cette sale bête!",4,4,1,1,True
5,104,104,104,,,"A ta place, je me fierais pas à cette sale bête. Prête à te dévorer!","A ta place, je me fierais pas à cette sale bête. Prête à te dévorer!",5,5,1,1,True
6,105,105,105,,,"M'sieur,","M'sieur,",6,6,1,1,True
7,106,106,106,,,"M'dame,","M'dame,",7,7,1,1,True
8,107,107,107,,, ce serait gentil de me débarrasser de ce maudit chien., ce serait gentil de me débarrasser de ce maudit chien.,8,8,1,1,True
9,108,108,108,,,Pourquoi?,Pourquoi?,9,9,1,1,True
10,109,109,109,,,"Non, je m'occupe uniquement de choses importantes.","Non, je m'occupe uniquement de choses importantes.",10,10,1,1,True
11,110,110,110,,,D'où il vient?,D'où il vient?,11,11,1,1,True
12,111,111,111,,,Euhh.,Euhh.,12,12,1,1,True
13,112,112,112,,,Peut-être que tu peux le persuader de mourir.,Peut-être que tu peux le persuader de mourir.,13,13,1,1,True
14,113,113,113,,,Parce qu'il veut pas nous laisser rentrer chez nous.,Parce qu'il veut pas nous laisser rentrer chez nous.,14,14,1,1,True
15,114,114,114,,,D'accord.,D'accord.,15,15,1,1,True
16,115,115,115,,,C'est pas ton chien?,C'est pas ton chien?,16,16,1,1,True
17,116,116,116,,,"C'était le compagnon d'un voyageur. Quand le voyageur est mort, ce maudit chien a posé son sale cul devant ma porte et pas moyen de le déloger. Ça fait des jours qu'il est là.","C'était le compagnon d'un voyageur. Quand le voyageur est mort, ce maudit chien a posé son sale cul devant ma porte et pas moyen de le déloger. Ça fait des jours qu'il est là.",17,17,1,1,True
18,117,117,117,,,Oh.,Oh.,18,18,1,1,True
19,118,118,118,,,Qui était ce voyageur?,Qui était ce voyageur?,19,19,1,1,True
20,119,119,119,,,A quoi il ressemblait ce voyageur?,A quoi il ressemblait ce voyageur?,20,20,1,1,True
21,120,120,120,,,"Je sais pas. Un type. Il disait venir de l'est. Comme si on pouvait traverser le désert vers l'est. Il s'est mis Gizmo à dos, à vouloir se mêler de ses oignons.","Je sais pas. Un type. Il disait venir de l'est. Comme si on pouvait traverser le désert vers l'est. Il s'est mis Gizmo à dos, à vouloir se mêler de ses oignons.",21,21,1,1,True
22,121,121,121,,,Si bien que Gizmo l'a fait rosser par deux de ses gars et l'a balancé du toit du casino. Le voyageur en est mort et le clebs est devenu marteau.,Si bien que Gizmo l'a fait rosser par deux de ses gars et l'a balancé du toit du casino. Le voyageur en est mort et le clebs est devenu marteau.,22,22,1,1,True
23,122,122,122,,,A quoi il ressemblait ce voyageur?,A quoi il ressemblait ce voyageur?,23,23,1,1,True
24,123,123,123,,,"Oh, un grand type, les cheveux sombres, un peu grisonnant. Habillé tout en cuir noir, - faut vraiment être taré pour se trimballer comme ça dans le désert! -, et il portait un fusil.","Oh, un grand type, les cheveux sombres, un peu grisonnant. Habillé tout en cuir noir, - faut vraiment être taré pour se trimballer comme ça dans le désert! -, et il portait un fusil.",24,24,1,1,True
25,124,124,124,,,Il avait un drôle d'accent. Le chien le quittait pas d'une semelle.,Il avait un drôle d'accent. Le chien le quittait pas d'une semelle.,25,25,1,1,True
26,125,125,125,,,Merci pour la conversation.,Merci pour la conversation.,26,26,1,1,True
27,126,126,126,,,Je déteste ce chien.,Je déteste ce chien.,27,27,1,1,True
28,127,127,127,,,Merci de ton aide.,Merci de ton aide.,28,28,1,1,True
29,128,128,128,,,Au secours!,Au secours!,31,31,1,1,True
30,129,129,129,,,On nous attaque!,On nous attaque!,32,32,1,1,True
31,130,130,130,,,"Merci de nous avoir aidés contre ces maudits soûlards de pillards. En récompense, voici ","Merci de nous avoir aidés contre ces maudits soûlards de pillards. En récompense, voici ",33,33,1,1,True
32,131,131,131,,, caps., caps.,34,34,1,1,True
33,132,132,132,,,Merci de ton aide! On a rassemblé ,Merci de ton aide! On a rassemblé ,35,35,1,1,True
34,133,133,133,,, caps. Prends-les.Tu les mérites pour nous avoir aidés contre cette sale engeance., caps. Prends-les.Tu les mérites pour nous avoir aidés contre cette sale engeance.,36,36,1,1,True
