occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,100,100,100,,,你看见警长贾斯丁·格林。,你看见警长贾斯丁·格林。,4,4,1,1,True
4,101,101,101,,,唷，这就是那个滥杀无辜的人。我听说过你，你很幸运，要不是我带着这勋章，我会把你从这儿轰杀了。最好离开这座城市——现在。离我们的孩子远点儿。,唷，这就是那个滥杀无辜的人。我听说过你，你很幸运，要不是我带着这勋章，我会把你从这儿轰杀了。最好离开这座城市——现在。离我们的孩子远点儿。,5,5,1,1,True
5,102,102,102,,,你好先生！我叫贾斯丁·格林。是这个美丽城市的警长。在这美好的一天中有什么需要我效劳的？,你好先生！我叫贾斯丁·格林。是这个美丽城市的警长。在这美好的一天中有什么需要我效劳的？,6,6,1,1,True
6,103,103,103,,,你好女士！我叫贾斯丁·格林。是这个美丽城市的警长。在这美好的一天中有什么需要我效劳的？,你好女士！我叫贾斯丁·格林。是这个美丽城市的警长。在这美好的一天中有什么需要我效劳的？,7,7,1,1,True
7,104,104,104,,,"那么, 快说！","那么, 快说！",8,8,1,1,True
8,105,105,105,,,德克请我来杀个商人和他老婆。,德克请我来杀个商人和他老婆。,9,9,1,1,True
9,106,106,106,,,德克想请我去杀一个叫简恩的人。,德克想请我去杀一个叫简恩的人。,10,10,1,1,True
10,107,107,107,,,没什么，抱歉。,没什么，抱歉。,11,11,1,1,True
11,108,108,108,,,抱歉，我不能告诉你。否则我会没命的。,抱歉，我不能告诉你。否则我会没命的。,12,12,1,1,True
12,109,109,109,,,嗯，多谢。我们尽力了。管理这么大的城市并不容易，但就我们的人力和物力而言我们已经尽可能做到最好了。麻烦的是暴徒们的火力常常比我们强大。,嗯，多谢。我们尽力了。管理这么大的城市并不容易，但就我们的人力和物力而言我们已经尽可能做到最好了。麻烦的是暴徒们的火力常常比我们强大。,13,13,1,1,True
13,110,110,110,,,再次感谢。,再次感谢。,14,14,1,1,True
14,111,111,111,,,你该滚了，小孩杀手。,你该滚了，小孩杀手。,15,15,1,1,True
15,112,112,112,,,你不能这样犹豫。不过，如果你改变主意的话就告诉我们。这是个危险的地方，必须有人站出来伸张正义。,你不能这样犹豫。不过，如果你改变主意的话就告诉我们。这是个危险的地方，必须有人站出来伸张正义。,16,16,1,1,True
16,113,113,113,,,太好了！我已经几次听说过了他的计划。不过你的让我有足够的证据对他采取行动。这并不是件容易的事情，如果你愿意帮忙的话我欢迎。我可以给你1000的报酬。先付200，余下的事成之后结清。怎么样？,太好了！我已经几次听说过了他的计划。不过你的让我有足够的证据对他采取行动。这并不是件容易的事情，如果你愿意帮忙的话我欢迎。我可以给你1000的报酬。先付200，余下的事成之后结清。怎么样？,17,17,1,1,True
17,114,114,114,,,太迟了……该死！我知道是他干的，真后悔没有及早发现并阻止他。不管怎么说，你这个证人足以让我采取行动了。我们得“除掉他”。这并不是件容易的事情，如果你愿意帮忙的话我欢迎。我可以给你1000的报酬。先付200，余下的事成之后结清。怎么样？,太迟了……该死！我知道是他干的，真后悔没有及早发现并阻止他。不管怎么说，你这个证人足以让我采取行动了。我们得“除掉他”。这并不是件容易的事情，如果你愿意帮忙的话我欢迎。我可以给你1000的报酬。先付200，余下的事成之后结清。怎么样？,18,18,1,1,True
18,115,115,115,,,太迟了……我怎么知道是不是和你也有干系？德克不太可能留下活口。,太迟了……我怎么知道是不是和你也有干系？德克不太可能留下活口。,19,19,1,1,True
19,116,116,116,,,我刚听说她已经死了……不对，我怎么知道是不是和你也有干系？德克不太可能留下活口。,我刚听说她已经死了……不对，我怎么知道是不是和你也有干系？德克不太可能留下活口。,20,20,1,1,True
20,117,117,117,,,我很荣幸。,我很荣幸。,21,21,1,1,True
21,118,118,118,,,抱歉，我希望现在就付清。,抱歉，我希望现在就付清。,22,22,1,1,True
22,119,119,119,,,没门儿！你自己干吧。,没门儿！你自己干吧。,23,23,1,1,True
23,120,120,120,,,不行。你看起来值得信任，可我担心你会在最危急的时候抛弃我们。这样吧，我俩中必须有一人活下来确保你拿到了报酬。这样会稍微“保险”一些。,不行。你看起来值得信任，可我担心你会在最危急的时候抛弃我们。这样吧，我俩中必须有一人活下来确保你拿到了报酬。这样会稍微“保险”一些。,24,24,1,1,True
24,121,121,121,,,我们开始吧。,我们开始吧。,25,25,1,1,True
25,122,122,122,,,你自己干吧，警长。,你自己干吧，警长。,26,26,1,1,True
26,123,123,123,,,太棒了！你一准备好我们就去。,太棒了！你一准备好我们就去。,27,27,1,1,True
27,124,124,124,,,我准备好了。,我准备好了。,28,28,1,1,True
28,125,125,125,,,好的，再见。,好的，再见。,29,29,1,1,True
29,126,126,126,,,真是遗憾。如果你回心转意的话再来找我，不过要快。,真是遗憾。如果你回心转意的话再来找我，不过要快。,30,30,1,1,True
30,127,127,127,,,好的，我干。不过想让我补充些装备。,好的，我干。不过想让我补充些装备。,31,31,1,1,True
31,128,128,128,,,你疯了。,你疯了。,32,32,1,1,True
32,129,129,129,,,再见。,再见。,33,33,1,1,True
33,130,130,130,,,太棒了！准备好了说一声。我们等着你，可要快点儿。,太棒了！准备好了说一声。我们等着你，可要快点儿。,34,34,1,1,True
