occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,100,100,100,,,"From the look of things, they can't have traveled very far. They must have #a lair nearby.","From the look of things, they can't have traveled very far. They must have #a lair nearby.",4,4,1,2,False
4,101,101,101,,,They appear to have traveled here from somewhere nearby.,They appear to have traveled here from somewhere nearby.,5,5,1,2,False
5,102,102,102,,,It looks like they traveled from somewhere far north of here.,It looks like they traveled from somewhere far north of here.,6,6,1,2,False
6,103,103,103,,,"Apparently, they were just wandering the wastes.","Apparently, they were just wandering the wastes.",7,7,1,2,False
7,104,104,104,,,You have stumbled on to a fierce battle between Rad Scorpions and Mole Rats.,You have stumbled on to a fierce battle between Rad Scorpions and Mole Rats.,8,8,1,2,False
8,105,105,105,,,AMBUSH!!!,AMBUSH!!!,9,9,1,2,False
9,106,106,106,,,You have stumbled upon a large pack of radscorpions!,You have stumbled upon a large pack of radscorpions!,10,10,1,2,False
10,107,107,107,,,You have stumbled upon a pack of Rad Scorpions.,You have stumbled upon a pack of Rad Scorpions.,11,11,1,2,False
11,108,108,108,,,You have stumbled upon a family of Mole Rats.,You have stumbled upon a family of Mole Rats.,12,12,1,2,False
12,109,109,109,,,You manage to avoid a serious case of dehydration by searching for water. #The search takes an additional hour.,You manage to avoid a serious case of dehydration by searching for water. #The search takes an additional hour.,13,13,1,2,False
13,110,110,110,,,You manage to avoid a serious case of dehydration by searching for water. #The search takes an additional ,You manage to avoid a serious case of dehydration by searching for water. #The search takes an additional ,14,14,1,2,False
14,111,111,111,,, hours., hours.,15,15,1,2,False
15,112,112,112,,,"Your water supply runs low, and your search of an hour fails to locate more #water.# Severe dehydration sets in, causing you ","Your water supply runs low, and your search of an hour fails to locate more #water.
# Severe dehydration sets in, causing you ",16,17,1,2,False
16,113,113,113,,, points of health damage., points of health damage.,18,18,1,2,False
17,114,114,114,,,"Your water supply runs low, and your search of ","Your water supply runs low, and your search of ",19,19,1,2,False
18,115,115,115,,, hours fails to locate more water. Severe dehydration sets in causing you , hours fails to locate more water. Severe dehydration sets in causing you ,20,20,1,2,False
19,116,116,116,,, points of health damage., points of health damage.,21,21,1,2,False
20,117,117,117,,,"You search for water in the high desert landscape for an hour, but you do #not find enough to fully# satisfy your thirst. You have sustained a point of# health damage.","You search for water in the high desert landscape for an hour, but you do #not find enough to fully
# satisfy your thirst. You have sustained a point of
# health damage.",22,24,1,2,False
21,118,118,118,,,"You search for water in the high desert landscape for an hour, but you do #not find enough to fully# satisfy your thirst. You have sustained ","You search for water in the high desert landscape for an hour, but you do #not find enough to fully
# satisfy your thirst. You have sustained ",25,26,1,2,False
22,119,119,119,,, points of health damage., points of health damage.,27,27,1,2,False
23,120,120,120,,,You search for water in the high desert landscape for ,You search for water in the high desert landscape for ,28,28,1,2,False
24,121,121,121,,," hours, but you do not find# enough to fully satisfy your thirst. You have sustained a point of health damage."," hours, but you do not find
# enough to fully satisfy your thirst. You have sustained a point of health damage.",29,30,1,2,False
25,122,122,122,,,You search for water in the high desert landscape for ,You search for water in the high desert landscape for ,31,31,1,2,False
26,123,123,123,,," hours, but you do not find enough to fully satisfy your thirst. You have# sustained "," hours, but you do not find enough to fully satisfy your thirst. You have
# sustained ",32,33,1,2,False
27,124,124,124,,, points of health damage., points of health damage.,34,34,1,2,False
28,125,125,125,,,You manage to avoid dehydration due to your supplies of water.,You manage to avoid dehydration due to your supplies of water.,35,35,1,2,False
29,12600,12600,12600,,,Radscorpions hunt Mole rats among the ruined city walls.,Radscorpions hunt Mole rats among the ruined city walls.,36,36,1,2,False
30,126,126,126,,,You've run into some Radscorpions hunting Mole rats.,You've run into some Radscorpions hunting Mole rats.,37,37,1,2,False
31,127,127,127,,,Skinny hostile humanoids with greenish skin approach.,Skinny hostile humanoids with greenish skin approach.,38,38,1,2,False
32,128,128,128,,,Junk and rocks are scattered about.,Junk and rocks are scattered about.,39,39,1,2,False
33,129,129,129,,,A lone radscorpion ambushed you!,A lone radscorpion ambushed you!,40,40,1,2,False
34,130,130,130,,,You note a partially-eaten corpse here.,You note a partially-eaten corpse here.,41,41,1,2,False
35,131,131,131,,,STAMPEDE!!!,STAMPEDE!!!,42,42,1,2,False
36,132,132,132,,,You stumble onto a large pack of Rad Scorpions!,You stumble onto a large pack of Rad Scorpions!,43,43,1,2,False
37,133,133,133,,,Raiders ambush you!,Raiders ambush you!,44,44,1,2,False
38,134,134,134,,,A pack of nasty radscorpions strikes from the desert!,A pack of nasty radscorpions strikes from the desert!,45,45,1,2,False
39,135,135,135,,,You encounter a group of guardsmen on patrol.,You encounter a group of guardsmen on patrol.,46,46,1,2,False
40,136,136,136,,,You come across a merchant with several guards.,You come across a merchant with several guards.,47,47,1,2,False
41,137,137,137,,,You see a peasant herding several brahmin.,You see a peasant herding several brahmin.,48,48,1,2,False
42,143,143,143,,,Raiders!!!,Raiders!!!,49,49,1,2,False
43,144,144,144,,,You have stumbled on a large gathering of Mole Rats.,You have stumbled on a large gathering of Mole Rats.,50,50,1,2,False
44,145,145,145,,,You encounter a band of wild radscorpions.,You encounter a band of wild radscorpions.,51,51,1,2,False
45,146,146,146,,,You encounter some peasants under attack.,You encounter some peasants under attack.,52,52,1,2,False
