occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,100,100,100,,,You see Michelle.,You see Michelle.,4,4,1,2,False
4,100,100,100,,,你看到米歇尔。,你看到米歇尔。,5,5,2,2,True
5,101,101,101,,,,,6,6,1,1,True
6,102,102,102,,,,,7,7,1,1,True
7,103,103,103,,,You see a member of the Blades.,You see a member of the Blades.,8,8,1,2,False
8,103,103,103,,,你看一个利刃帮成员。,你看一个利刃帮成员。,9,9,2,2,True
9,104,104,104,,,You see a member of the Blades.,You see a member of the Blades.,10,10,1,2,False
10,104,104,104,,,你看一个利刃帮成员。,你看一个利刃帮成员。,11,11,2,2,True
11,105,105,105,,,You think that might be Books.,You think that might be Books.,12,12,1,2,False
12,105,105,105,,,你觉得那是“书”。,你觉得那是“书”。,13,13,2,2,True
13,106,106,106,,,You think that might be Scars.,You think that might be Scars.,14,14,1,2,False
14,106,106,106,,,你觉得那是“伤疤”。,你觉得那是“伤疤”。,15,15,2,2,True
15,107,107,107,,,You think that might be Gunner.,You think that might be Gunner.,16,16,1,2,False
16,107,107,107,,,你觉得那是“枪手”。,你觉得那是“枪手”。,17,17,2,2,True
17,108,108,108,,,You think that might be Twitch.,You think that might be Twitch.,18,18,1,2,False
18,108,108,108,,,你觉得那是“抽搐”。,你觉得那是“抽搐”。,19,19,2,2,True
19,109,109,109,,,You think that might be Hammer.,You think that might be Hammer.,20,20,1,2,False
20,109,109,109,,,你觉得那是“锤子”。,你觉得那是“锤子”。,21,21,2,2,True
21,110,110,110,,,You think that might be Razor.,You think that might be Razor.,22,22,1,2,False
22,110,110,110,,,你觉得那是“剃刀”。,你觉得那是“剃刀”。,23,23,2,2,True
23,111,111,111,,,What are you doing here?,What are you doing here?,24,24,1,2,False
24,111,111,111,,,你在这做什么呢？,你在这做什么呢？,25,25,2,2,True
25,112,112,112,,,Hhrrrnnn.,Hhrrrnnn.,26,26,1,2,False
26,112,112,112,,,呵呵呵。,呵呵呵。,27,27,2,2,True
27,113,113,113,,,Nothing. Honest.,Nothing. Honest.,28,28,1,2,False
28,113,113,113,,,没什么。老兄。,没什么。老兄。,29,29,2,2,True
29,114,114,114,,,I'm just looking around.,I'm just looking around.,30,30,1,2,False
30,114,114,114,,,我随便逛逛。,我随便逛逛。,31,31,2,2,True
31,115,115,115,,,This! *smack*,This! *smack*,32,32,1,2,False
32,115,115,115,,,这个！【猛击】,这个！【猛击】,33,33,2,2,True
33,116,116,116,,,"A moron. I think that you'd best get out of here. Otherwise,# you may become target practice.","A moron. I think that you'd best get out of here. Otherwise,
# you may become target practice.",34,35,1,2,False
34,116,116,116,,,白痴。我想你最好快离开这儿。不然，你会变成练习的靶子。,白痴。我想你最好快离开这儿。不然，你会变成练习的靶子。,36,36,2,2,True
35,117,117,117,,,Arroo!,Arroo!,37,37,1,2,False
36,117,117,117,,,啊哦！,啊哦！,38,38,2,2,True
37,118,118,118,,,Arook.,Arook.,39,39,1,2,False
38,118,118,118,,,啊喔！,啊喔！,40,40,2,2,True
39,119,119,119,,,"Nothing, eh? I think you're hiding something. Out with it# before you see your guts.","Nothing, eh? I think you're hiding something. Out with it
# before you see your guts.",41,42,1,2,False
40,119,119,119,,,没什么，嗯？我看你想瞒我。在你看到你的内脏之前，说出来！,没什么，嗯？我看你想瞒我。在你看到你的内脏之前，说出来！,43,43,2,2,True
41,120,120,120,,,I'm really a Martian.,I'm really a Martian.,44,44,1,2,False
42,120,120,120,,,我真是火星人。,我真是火星人。,45,45,2,2,True
43,121,121,121,,,I'm here to stop the gang wars.,I'm here to stop the gang wars.,46,46,1,2,False
44,121,121,121,,,我来这阻止帮派争斗。,我来这阻止帮派争斗。,47,47,2,2,True
45,122,122,122,,,I'm not up to anything.,I'm not up to anything.,48,48,1,2,False
46,122,122,122,,,我什么也不在乎。,我什么也不在乎。,49,49,2,2,True
47,123,123,123,,,I'm up to THIS! *smack*,I'm up to THIS! *smack*,50,50,1,2,False
48,123,123,123,,,我在乎这个！【啧啧啧】,我在乎这个！【啧啧啧】,51,51,2,2,True
49,124,124,124,,,"Everyone knows there are no such things as Martians.# All real aliens are from Venus. Now, you die!","Everyone knows there are no such things as Martians.
# All real aliens are from Venus. Now, you die!",52,53,1,2,False
50,124,124,124,,,谁都知道没有火星人这玩意。所有真正的外星人是从金星来的。现在，你去死吧！,谁都知道没有火星人这玩意。所有真正的外星人是从金星来的。现在，你去死吧！,54,54,2,2,True
51,125,125,125,,,"Sure, and I'm the Queen of Mexico.","Sure, and I'm the Queen of Mexico.",55,55,1,2,False
52,125,125,125,,,没错，我就是墨西哥女王。,没错，我就是墨西哥女王。,56,56,2,2,True
53,126,126,126,,,Honest. I want to stop the wars so I can help Adytum.,Honest. I want to stop the wars so I can help Adytum.,57,57,1,2,False
54,126,126,126,,,实话说。我要阻止争斗，帮助内城区。,实话说。我要阻止争斗，帮助内城区。,58,58,2,2,True
55,127,127,127,,,"Your Majesty, I truly seek to end the wars.","Your Majesty, I truly seek to end the wars.",59,59,1,2,False
56,127,127,127,,,阁下，我真的期待结束争斗。,阁下，我真的期待结束争斗。,60,60,2,2,True
