occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Voici Laura.,Voici Laura.,1,1,1,1,True
2,102,102,102,laura0m,laura0m,"Bonjour, mon frère. Quel service puis-je te rendre par cette splendide journée?","Bonjour, mon frère. Quel service puis-je te rendre par cette splendide journée?",2,2,1,1,True
3,104,104,104,laura0f,laura0f,"Bonjour, ma sur. Quel service puis-je te rendre par cette splendide journée?","Bonjour, ma sur. Quel service puis-je te rendre par cette splendide journée?",3,3,1,1,True
4,105,105,105,,,Tu es Laura?,Tu es Laura?,4,4,1,1,True
5,106,106,106,,,Je peux te poser quelques questions sur les Enfants?,Je peux te poser quelques questions sur les Enfants?,5,5,1,1,True
6,107,107,107,,,Quel genre de 'services' offres-tu?,Quel genre de 'services' offres-tu?,6,6,1,1,True
7,108,108,108,,,Maman?,Maman?,7,7,1,1,True
8,110,110,110,laura01a,laura01a,"C'est fort gentil de ta part, mais non. Ce n'est pas moi. Je suis sûre que tu peux la trouver ailleurs.","C'est fort gentil de ta part, mais non. Ce n'est pas moi. Je suis sûre que tu peux la trouver ailleurs.",8,8,1,1,True
9,112,112,112,laura2,laura2,Oui c'est bien moi. Tu voulais quelque chose?,Oui c'est bien moi. Tu voulais quelque chose?,9,9,1,1,True
10,113,113,113,,,Nicole m'envoie te parler.,Nicole m'envoie te parler.,10,10,1,1,True
11,114,114,114,,,"Euh... non. Rien, rien.","Euh... non. Rien, rien.",11,11,1,1,True
12,116,116,116,laura3,laura3,Nicole? Vraiment désolée. Je ne pense pas connaître quelqu'un de ce nom-là.,Nicole? Vraiment désolée. Je ne pense pas connaître quelqu'un de ce nom-là.,12,12,1,1,True
13,117,117,117,,,"Eh bien, elle m'a dit de te dire 'Rider Rouge'.","Eh bien, elle m'a dit de te dire 'Rider Rouge'.",13,13,1,1,True
14,118,118,118,,,"Mais bien sûr que si, tu la connais, puisqu'elle m'envoie!","Mais bien sûr que si, tu la connais, puisqu'elle m'envoie!",14,14,1,1,True
15,120,120,120,laura4,laura4,"Je suis désolée. Je... je ne vois vraiment pas. Suis-moi, nous serons mieux pour parler.","Je suis désolée. Je... je ne vois vraiment pas. Suis-moi, nous serons mieux pour parler.",15,15,1,1,True
16,122,122,122,laura9,laura9,Vraiment navrée pour toi. Ne te vexe pas surtout..,Vraiment navrée pour toi. Ne te vexe pas surtout..,16,16,1,1,True
17,124,124,124,laura10,laura10,"C'est vrai? Euh... excuse ma curiosité, mais tu semblais me chercher tout spécialement.","C'est vrai? Euh... excuse ma curiosité, mais tu semblais me chercher tout spécialement.",17,17,1,1,True
18,125,125,125,,,"Eh bien, Nicole m'envoie.","Eh bien, Nicole m'envoie.",18,18,1,1,True
19,126,126,126,,,J'ai simplement entendu parler de toi et je voulais voir de quoi t'avais l'air.,J'ai simplement entendu parler de toi et je voulais voir de quoi t'avais l'air.,19,19,1,1,True
20,128,128,128,laura11,laura11,"Je... je suis désolée, mais ce genre d'attention me trouble un peu. Je ne sais pas pourquoi, c'est idiot, je sais. Allez, bonne promenade.","Je... je suis désolée, mais ce genre d'attention me trouble un peu. Je ne sais pas pourquoi, c'est idiot, je sais. Allez, bonne promenade.",20,20,1,1,True
21,130,130,130,laura14,laura14,"Oh, je ne suis pas vraiment compétente. Va voir Morpheus, le Grand Prêtre. Je suis sûre que lui peut t'aider.","Oh, je ne suis pas vraiment compétente. Va voir Morpheus, le Grand Prêtre. Je suis sûre que lui peut t'aider.",21,21,1,1,True
22,132,132,132,laura15,laura15,Mais je voulais seulement dire... oh... Je dois partir.,Mais je voulais seulement dire... oh... Je dois partir.,22,22,1,1,True
23,134,134,134,laura16g,laura16g,"Bonjour, te revoilà! Tu te promènes ou bien puis-je te renseigner?","Bonjour, te revoilà! Tu te promènes ou bien puis-je te renseigner?",23,23,1,1,True
24,136,136,136,laura16b,laura16b,Il y a... quelque chose que je peux faire pour toi?,Il y a... quelque chose que je peux faire pour toi?,24,24,1,1,True
25,137,137,137,,,Tu es Laura?,Tu es Laura?,25,25,1,1,True
26,138,138,138,,,Je peux te poser quelques questions sur les Enfants?,Je peux te poser quelques questions sur les Enfants?,26,26,1,1,True
27,139,139,139,,,"Rien, merci.","Rien, merci.",27,27,1,1,True
28,140,140,140,,,"Euh, maman?","Euh, maman?",28,28,1,1,True
29,142,142,142,laura16a,laura16a,Non. Nous en avons déjà parlé. Tu devras chercher ailleurs.,Non. Nous en avons déjà parlé. Tu devras chercher ailleurs.,29,29,1,1,True
30,144,144,144,laura21,laura21,Oh... je suis contente que tu m'aies trouvée. Nicole a envoyé une liste des informations que je dois chercher.,Oh... je suis contente que tu m'aies trouvée. Nicole a envoyé une liste des informations que je dois chercher.,30,30,1,1,True
31,145,145,145,,,"Alors, qu'est-ce que t'as trouvé?","Alors, qu'est-ce que t'as trouvé?",31,31,1,1,True
32,147,147,147,laura22,laura22,Hm. Il y a tellement à dire que je... Je ne sais pas exactement ce que tu cherches et par où commencer. Il y a quelque chose de spécial que tu veux savoir?,Hm. Il y a tellement à dire que je... Je ne sais pas exactement ce que tu cherches et par où commencer. Il y a quelque chose de spécial que tu veux savoir?,32,32,1,1,True
33,148,148,148,,,Existe-t-il une entrée secrète au sanctuaire de l'église?,Existe-t-il une entrée secrète au sanctuaire de l'église?,33,33,1,1,True
34,149,149,149,,,Qu'as-tu appris sur Le Maître?,Qu'as-tu appris sur Le Maître?,34,34,1,1,True
35,150,150,150,,,Quelles sont les intentions des Enfants?,Quelles sont les intentions des Enfants?,35,35,1,1,True
36,151,151,151,,,Qu'est-ce qu'une chouette fille comme toi fait dans un endroit pareil?,Qu'est-ce qu'une chouette fille comme toi fait dans un endroit pareil?,36,36,1,1,True
37,152,152,152,,,"Rien d'autre, merci.","Rien d'autre, merci.",37,37,1,1,True
38,154,154,154,laura24,laura24,Ce n'est pas dans le sanctuaire que tu dois entrer.,Ce n'est pas dans le sanctuaire que tu dois entrer.,38,38,1,1,True
39,155,155,155,,,Où alors?,Où alors?,39,39,1,1,True
