occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Ves a un Miembro de los Niños de la Catedral.,Ves a un Miembro de los Niños de la Catedral.,1,1,1,1,True
2,101,101,101,,,Yo no hablo con almas paganas como la tuya.,Yo no hablo con almas paganas como la tuya.,2,2,1,1,True
3,102,102,102,,,"Tu informe, Van Hagan.","Tu informe, Van Hagan.",3,3,1,1,True
4,103,103,103,,,"El Maestro está contento con tus progresos, pero su necesidad es grande y el tiempo limitado.","El Maestro está contento con tus progresos, pero
 su necesidad es grande y el tiempo limitado.",4,5,1,1,True
5,104,104,104,,,El Maestro debería saber que la materia prima es limitada. No podemos crear nuestros soldados sin más suministros.,"El Maestro debería saber que la materia prima es limitada.
 No podemos crear nuestros soldados sin más suministros.",6,7,1,1,True
6,105,105,105,,,"Está al tanto de nuestros problemas. Mientras hablamos, él trabaja sobre ello.","Está al tanto de nuestros problemas. Mientras hablamos, él trabaja
 sobre ello.",8,9,1,1,True
7,106,106,106,,,"Háblame de sus planes. Tendremos que coordinar actividades, si queremos que la Unidad tenga éxito.","Háblame de sus planes. Tendremos que coordinar
 actividades, si queremos que la Unidad tenga éxito.",10,11,1,1,True
8,107,107,107,,,"El Maestro se ha enterado de la existencia de un refugio con vida no descubierto todavía. Con toda esa materia prima, podemos crear una gran fuerza. Según el programa de predicción, es precisamente lo que necesitamos para ganar.","El Maestro se ha enterado de la existencia de un refugio con vida
 no descubierto todavía. Con toda esa materia prima, podemos
 crear una gran fuerza. Según el programa de predicción, es precisamente lo que necesitamos para ganar.",12,14,1,1,True
9,108,108,108,,,Excelente. Esto es más que fortuito. ¿Están contaminados los habitantes?,"Excelente. Esto es más que fortuito. ¿Están contaminados
 los habitantes?",15,16,1,1,True
10,109,109,109,,,"Oh, ésa es la mejor parte. Si su representante sirve de ejemplo, están limpios. Son puros.","Oh, ésa es la mejor parte. Si su representante sirve
 de ejemplo, están limpios. Son puros.",17,18,1,1,True
11,110,110,110,,,"Oh, ¡qué emocionante!. ¿Cuál de los Refugios hemos saqueado?","Oh, ¡qué emocionante!. ¿Cuál de los Refugios hemos
 saqueado?",19,20,1,1,True
12,111,111,111,,,Refugio 13. Y pronto los tendremos. Muy pronto.,Refugio 13. Y pronto los tendremos. Muy pronto.,21,21,1,1,True
13,112,112,112,,,Ganas 1000 puntos de experiencia por oír por casualidad toda la conversación sobre tu Refugio.,"Ganas 1000 puntos de experiencia por oír por casualidad toda la conversación
 sobre tu Refugio.",22,23,1,1,True
