occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Voici un garde de l'eau.,Voici un garde de l'eau.,1,1,1,1,True
2,101,101,101,,,"Bonjour, ","Bonjour, ",2,2,1,1,True
3,102,102,102,,,. ,. ,3,3,1,1,True
4,103,103,103,,,Bonjour. Comment vas-tu?,Bonjour. Comment vas-tu?,4,4,1,1,True
5,104,104,104,,,Ba!,Ba!,5,5,1,1,True
6,105,105,105,,,Eh bien Ba! Te revoilà... Quelle tristesse que tu n'aies jamais appris à parler! Nous aurions pu être amis.,Eh bien Ba! Te revoilà... Quelle tristesse que tu n'aies jamais appris à parler! Nous aurions pu être amis.,6,6,1,1,True
7,106,106,106,,,Oup.,Oup.,7,7,1,1,True
8,107,107,107,,,"Je ne me sens pas très bien. Quelqu'un m'a donné un coup sur la tête avec un gros tuyau. J'ai consulté un médecin, mais j'ai toujours mal. J'espère bien que quelqu'un mettra la main sur le connard qui m'a fait ça!","Je ne me sens pas très bien. Quelqu'un m'a donné un coup sur la tête avec un gros tuyau. J'ai consulté un médecin, mais j'ai toujours mal. J'espère bien que quelqu'un mettra la main sur le connard qui m'a fait ça!",8,8,1,1,True
9,108,108,108,,,Pourquoi ont-ils fait ça?,Pourquoi ont-ils fait ça?,9,9,1,1,True
10,109,109,109,,,Pik.,Pik.,10,10,1,1,True
11,110,110,110,,,"Eh bien, ils m'ont attaqué tard cette nuit. Normalement, je rentre chez moi aux alentours de huit heures, mais j'étais encore là car quelqu'un s'était fait voler de l'eau et je vérifiais nos réserves. Ensuite, tout ce que je sais, c'est que je me suis réveillé chez le médecin avec une grosse bosse sur la tête. Il se passe des choses étranges ici. Quelqu'un va finir par se faire tuer pour de l'eau et je ne sais pas vraiment ce que nous pouvons y faire.","Eh bien, ils m'ont attaqué tard cette nuit. Normalement, je rentre chez moi aux alentours de huit heures, mais j'étais encore là car quelqu'un s'était fait voler de l'eau et je vérifiais nos réserves. Ensuite, tout ce que je sais, c'est que je me suis réveillé chez le médecin avec une grosse bosse sur la tête. Il se passe des choses étranges ici. Quelqu'un va finir par se faire tuer pour de l'eau et je ne sais pas vraiment ce que nous pouvons y faire.",11,11,1,1,True
12,111,111,111,,,Je vais voir ce que je peux faire.,Je vais voir ce que je peux faire.,12,12,1,1,True
13,112,112,112,,,Quelle tristesse! J'espère que tu vas très vite te rétablir.,Quelle tristesse! J'espère que tu vas très vite te rétablir.,13,13,1,1,True
14,113,113,113,,,Voici ton eau.,Voici ton eau.,14,14,1,1,True
15,114,114,114,,,Voici ta ration pour aujourd'hui.,Voici ta ration pour aujourd'hui.,15,15,1,1,True
16,115,115,115,,,Hé! Qu'est-ce que tu fais?!?,Hé! Qu'est-ce que tu fais?!?,16,16,1,1,True
17,116,116,116,,,Ne prends pas autant de réserves. Nous en avons besoin.,Ne prends pas autant de réserves. Nous en avons besoin.,17,17,1,1,True
18,117,117,117,,,Tu consignes tes rapports dans le système informatique de la bibliothèque. Tu devrais consulter le dirigeant pour conclure ta progression.,Tu consignes tes rapports dans le système informatique de la bibliothèque. Tu devrais consulter le dirigeant pour conclure ta progression.,18,18,1,1,True
19,118,118,118,,,"Bonjour, ","Bonjour, ",19,19,1,1,True
20,119,119,119,,,.,.,20,20,1,1,True
21,120,120,120,,,Bonjour. Que s'est-il passé dernièrement?,Bonjour. Que s'est-il passé dernièrement?,21,21,1,1,True
22,121,121,121,,,Que fais-tu ici?,Que fais-tu ici?,22,22,1,1,True
23,122,122,122,,,"Eh bien, tout le monde est un peu nerveux bien sûr, mais nous n'avons pas rencontré de problèmes majeurs. J'espère que tu trouveras rapidement une nouvelle puce.","Eh bien, tout le monde est un peu nerveux bien sûr, mais nous n'avons pas rencontré de problèmes majeurs. J'espère que tu trouveras rapidement une nouvelle puce.",23,23,1,1,True
24,123,123,123,,,Je m'occupe des rations d'eau bien sûr. Et je veille à ce que personne n'essaie de prendre plus d'eau que nécessaire. Je pense que tout devrait bien se passer.,Je m'occupe des rations d'eau bien sûr. Et je veille à ce que personne n'essaie de prendre plus d'eau que nécessaire. Je pense que tout devrait bien se passer.,24,24,1,1,True
25,124,124,124,,,"Hmm. Très bien, continue comme ça.","Hmm. Très bien, continue comme ça.",25,25,1,1,True
26,125,125,125,,,Toi aussi. J'espère que tu trouveras rapidement la puce afin que nous retrouvions une vie normale.,Toi aussi. J'espère que tu trouveras rapidement la puce afin que nous retrouvions une vie normale.,26,26,1,1,True
27,126,126,126,,,"Compte tenu de l'importance de ta mission, tu peux puiser dans les réserves si tu le souhaites, mais n'en prends pas trop. Il ne nous en reste plus beaucoup.","Compte tenu de l'importance de ta mission, tu peux puiser dans les réserves si tu le souhaites, mais n'en prends pas trop. Il ne nous en reste plus beaucoup.",27,27,1,1,True
28,127,127,127,,,Puis-je puiser dans les réserves?,Puis-je puiser dans les réserves?,28,28,1,1,True
29,1000,1000,1000,,,Ration,Ration,29,29,1,1,True
30,1001,1001,1001,,,Rations,Rations,30,30,1,1,True
31,1002,1002,1002,,,Réserves,Réserves,31,31,1,1,True
32,1003,1003,1003,,,Eau,Eau,32,32,1,1,True
33,1100,1100,1100,,,Je m'occupe des rations d'eau le matin. Tu ne devrais pas en avoir besoin puisque tu t'en vas.,Je m'occupe des rations d'eau le matin. Tu ne devrais pas en avoir besoin puisque tu t'en vas.,33,33,1,1,True
34,1101,1101,1101,,,Je m'occupe des rations d'eau le matin. Tu ne devrais pas en avoir besoin puisque tu t'en vas.,Je m'occupe des rations d'eau le matin. Tu ne devrais pas en avoir besoin puisque tu t'en vas.,34,34,1,1,True
35,1102,1102,1102,,,"Il ne nous reste que très peu de réserves. Tu peux en prendre quelques-unes si tu en as besoin pour ta mission, mais pas trop.","Il ne nous reste que très peu de réserves. Tu peux en prendre quelques-unes si tu en as besoin pour ta mission, mais pas trop.",35,35,1,1,True
36,1103,1103,1103,,,Je m'occupe des rations d'eau le matin. Tu ne devrais pas en avoir besoin puisque tu t'en vas.,Je m'occupe des rations d'eau le matin. Tu ne devrais pas en avoir besoin puisque tu t'en vas.,36,36,1,1,True
