procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
4,description_p_proc,3350,message_lookup,528,102,102,,,,,linked,他有着多年搏斗而得以强健的肌肉和作为一个熟练拳手所特有的矫健身姿。,
6,look_at_p_proc,3790,message_lookup,528,101,101,,,,,linked,你看见一个外表强壮，浑身肌肉的男人。,
6,look_at_p_proc,3814,message_lookup,528,100,100,,,,,linked,你看见拳手索尔。,
9,talk_p_proc,4458,message_lookup,185,166,166,,,,,different-message-list,,
9,talk_p_proc,4508,message_lookup,528,115,115,,,,,linked,索尔失去知觉了。,
9,talk_p_proc,4550,message_lookup,669,104,104,,,,,different-message-list,,
9,talk_p_proc,4840,message_lookup,342,173,173,,,,,different-message-list,,
12,Saul06,5266,message_lookup,528,104,104,,,,,linked,这不是耍武器的时间或地点，朋友。但如果你什么时候想在拳台上和我比划，随时奉陪。,
13,Saul07,5338,reply,528,105,105,,,,,linked,你想要什么？,
13,Saul07,5360,reply,528,106,106,,,,,linked,嗯？,
13,Saul07,5392,intelligence_option,528,107,107,4,14,Saul08,50,linked,你在这干嘛？,
13,Saul07,5424,intelligence_option,528,108,108,4,15,Saul09,51,linked,一个猛男，嗯？我赌我能击败你。,
13,Saul07,5450,message_lookup,528,109,109,,,,,linked,我的名字是,
13,Saul07,5478,message_lookup,528,110,110,,,,,linked,。只是随便观光的。,
13,Saul07,5494,intelligence_option,,,<unresolved>,,,,,dynamic-number,,
14,Saul08,5534,reply,528,111,111,,,,,linked,【索尔满怀激情地笑着。】我是一个拳手！,
14,Saul08,5566,intelligence_option,528,112,112,4,15,Saul09,51,linked,哈，我能踢你的屁股。,
14,Saul08,5598,intelligence_option,528,113,113,4,17,Saul11,50,linked,哼呒。有什么交易？,
14,Saul08,5630,intelligence_option,528,103,103,4,34,SaulEnd,50,linked,哦，好的，祝你好运。,
15,Saul09,5694,reply,528,128,128,,,,,linked,好，如果你在找某人来把你那丑脸痛揍成一个较好的造型，你算是来对地方了。,
15,Saul09,5716,reply,528,129,129,,,,,linked,我是索尔。,
15,Saul09,5772,intelligence_option,528,130,130,4,16,Saul10,50,linked,嗯，算了。我能问你些问题吗？,
15,Saul09,5804,intelligence_option,528,188,188,4,33,SaulCombat,51,linked,没有头的话会很糟的，蹩脚拳师。,
15,Saul09,5836,intelligence_option,528,131,131,4,16,Saul10,50,linked,所以，你长时间来住在迦克镇？,
15,Saul09,5892,intelligence_option,528,135,135,4,17,Saul11,50,linked,你能告诉我关于迦克镇的什么吗？,
