procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
5,Brenden01,1684,reply,666,112,112,,,,,linked,还有别的需要我帮忙吗？,
5,Brenden01,1720,reply,666,102,102,,,,,linked,你好。我能帮你吗？,
5,Brenden01,1754,intelligence_option,666,107,107,-3,9,Brenden05,50,linked,嘎嘎。,
5,Brenden01,1786,intelligence_option,666,103,103,4,6,Brenden02,50,linked,我要找首席研究员弗蕾。,
5,Brenden01,1818,intelligence_option,666,104,104,4,7,Brenden03,50,linked,我要找马克松将军。,
5,Brenden01,1850,intelligence_option,666,105,105,4,8,Brenden04,50,linked,我要找游侠隆伯斯。,
5,Brenden01,1906,intelligence_option,666,106,106,4,10,Brenden06,50,linked,你在看什么书？,
5,Brenden01,1938,intelligence_option,666,113,113,4,17,BrendenEnd,50,linked,多谢了。再见。,
6,Brenden02,1978,reply,666,109,109,,,,,linked,首席研究员弗蕾在第三层，在计算机室里。,
6,Brenden02,2010,intelligence_option,634,106,106,0,5,Brenden01,50,different-message-list,,
7,Brenden03,2050,reply,666,110,110,,,,,linked,马克松将军通常在第四层，在会议室里。,
7,Brenden03,2082,intelligence_option,634,106,106,0,5,Brenden01,50,different-message-list,,
8,Brenden04,2122,reply,666,111,111,,,,,linked,游侠隆伯斯大部分时间都在第一层，在库房里。,
8,Brenden04,2154,intelligence_option,634,106,106,0,5,Brenden01,50,different-message-list,,
9,Brenden05,2200,message,666,108,108,,,,50,linked,呣。显然我帮不了你。,
10,Brenden06,2254,reply,666,114,114,,,,,linked,实际上，这是一本日记。我正在写一篇有关兄弟会的社会动力学方面的论文。,
10,Brenden06,2286,intelligence_option,666,115,115,4,11,Brenden07,49,linked,嗯。听起来很有趣。,
10,Brenden06,2318,intelligence_option,666,116,116,4,16,Brenden12,51,linked,那么，重点是什么？,
10,Brenden06,2350,intelligence_option,666,113,113,4,17,BrendenEnd,50,linked,多谢了。再见。,
11,Brenden07,2390,reply,666,117,117,,,,,linked,确实。我一直在研究有关战前我们祖先，还有外部社会的资料。我认为兄弟会在组织上和所谓的“黑暗时代”的圣殿骑士团最相似。,
11,Brenden07,2422,intelligence_option,666,118,118,6,12,Brenden08,50,linked,你为什么要研究这些？,
11,Brenden07,2454,intelligence_option,666,119,119,4,15,Brenden11,50,linked,圣殿骑士团？,
11,Brenden07,2486,intelligence_option,666,113,113,4,17,BrendenEnd,50,linked,多谢了。再见。,
12,Brenden08,2526,reply,666,120,120,,,,,linked,兄弟会把重点放在自然科学和应用技术上，几乎没有对人文科学的研究，比如心理学和社会学。对于一种全面发展的教育来说，我们必须把科学的思考方式应用到所有的实践中。,
12,Brenden08,2558,intelligence_option,666,121,121,6,13,Brenden09,49,linked,那么你发现了什么？,
12,Brenden08,2590,intelligence_option,666,113,113,4,17,BrendenEnd,50,linked,多谢了。再见。,
13,Brenden09,2630,reply,666,122,122,,,,,linked,我已经得出了结论，兄弟会的运转非常像一个伪宗教组织。我们有强大的军事集团，结合了我们的前辈流传下来的荣誉感。再综合我们的技术力量，我认为兄弟会的发展有两条路：一个技术-宗教的专政或者一个慈善的研究团体。,
13,Brenden09,2662,intelligence_option,666,123,123,6,14,Brenden10,50,linked,有什么会影响兄弟会的发展？,
13,Brenden09,2694,intelligence_option,666,113,113,4,17,BrendenEnd,50,linked,多谢了。再见。,
14,Brenden10,2734,reply,666,124,124,,,,,linked,从根本上来说我们有一个领导阶层，元老是最顶极的。最有影响力的职位，就是元老和高级元老。一个具有超凡魅力的高级元老差不多就能完全领导兄弟会。我们必须谨慎，要确认我们的领袖既强硬又有远见。感谢上帝，我想马克松将军就适合这种形容。 ,
14,Brenden10,2766,intelligence_option,666,113,113,4,17,BrendenEnd,50,linked,多谢了。再见。,
15,Brenden11,2806,reply,666,125,125,,,,,linked,根据我的研究，圣殿骑士团是一个军事化的兄弟会组织，它的目的是积敛财富和知识。尽管他们的组织带有一些宗教的色彩，他们对知识的追求最终使他们成为一个非宗教的团体。我认为如果他们对财富和权力有更大的兴趣的话，他们会成为一个神权组织，因为那个时代的教会基本上都在争夺金钱和土地。,
15,Brenden11,2838,intelligence_option,666,126,126,4,13,Brenden09,49,linked,这和兄弟会有什么关系？,
15,Brenden11,2870,intelligence_option,666,113,113,4,17,BrendenEnd,50,linked,多谢了。再见。,
16,Brenden12,2916,message,666,127,127,,,,51,linked,如果我们要认识到我们未来的方向，我们就必须了解我们的过去……不过我想你理解不了这一点。,
