occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Estás viendo al sheriff Justin Greene.,Estás viendo al sheriff Justin Greene.,1,1,1,1,True
2,101,101,101,,,"Oh, el asesino de los inocentes. He oído hablar de ti y tienes suerte de que la estrella me impida liquidarte de inmediato. Te sugiero que abandones nuestra ciudad ahora mismo. Y aléjate de nuestros hijos.","Oh, el asesino de los inocentes. He oído hablar de ti y tienes suerte de que la estrella me impida
 liquidarte de inmediato. Te sugiero que abandones nuestra ciudad ahora mismo. Y aléjate de nuestros hijos.",2,3,1,1,True
3,102,102,102,,,"¡Hola, señor! Me llamo Justin Greene. Soy el sheriff de esta bonita ciudad. ¿Hay algo que pueda hacer por ti ahora?","¡Hola, señor! Me llamo Justin Greene. Soy el sheriff de esta bonita ciudad. ¿Hay algo que pueda
 hacer por ti ahora?",4,5,1,1,True
4,103,103,103,,,"¡Hola, señora! Me llamo Justin Greene. Soy el sheriff de esta bonita ciudad. ¿Hay algo que pueda hacer por ti ahora?","¡Hola, señora! Me llamo Justin Greene. Soy el sheriff de esta bonita ciudad. ¿Hay algo que pueda
 hacer por ti ahora?",6,7,1,1,True
5,104,104,104,,,"Sí, ¡desaparece!","Sí, ¡desaparece!",8,8,1,1,True
6,105,105,105,,,Decker me contrató para matar a un mercader y a su mujer.,Decker me contrató para matar a un mercader y a su mujer.,9,9,1,1,True
7,106,106,106,,,Decker intentó contratarme para matar a una tal Jain.,Decker intentó contratarme para matar a una tal Jain.,10,10,1,1,True
8,107,107,107,,,"Nada, gracias.","Nada, gracias.",11,11,1,1,True
9,108,108,108,,,"Lo siento, no puedo decirte nada. Me matarían.","Lo siento, no puedo decirte nada. Me matarían.",12,12,1,1,True
10,109,109,109,,,"Gracias. Intentamos hacerlo bien. Es muy difícil en una ciudad de este tamaño, pero hacemos lo que podemos con los recursos disponibles. Es difícil cuando esos tipos tienen mejores armas de fuego que nosotros.","Gracias. Intentamos hacerlo bien. Es muy difícil en una ciudad de este tamaño, pero hacemos lo que podemos con los
 recursos disponibles. Es difícil cuando esos tipos tienen mejores armas de fuego que nosotros.",13,14,1,1,True
11,110,110,110,,,Gracias de nuevo.,Gracias de nuevo.,15,15,1,1,True
12,111,111,111,,,"Es hora de irse, matón.","Es hora de irse, matón.",16,16,1,1,True
13,112,112,112,,,"No podemos aceptar. Pero si cambias de opinión, házmelo saber. Este lugar es muy peligroso y alguien tiene que velar por que las cosas funcionen bien.","No podemos aceptar. Pero si cambias de opinión, házmelo saber. Este lugar es muy
 peligroso y alguien tiene que velar por que las cosas funcionen bien.",17,18,1,1,True
14,113,113,113,,,"¡Excelente! Ya había oído rumores sobre su plan. Tú eres la confirmación final que necesitaba para hacer algo contra él. Va a ser dificil y puedo utilizar toda la ayuda disponible. Te Pagaré 1000 vales, 200 ahora y el resto cuando hayas terminado el trabajo, ¿qué dices?","¡Excelente! Ya había oído rumores sobre su plan. Tú eres la confirmación final que necesitaba
 para hacer algo contra él. Va a ser dificil y puedo utilizar toda la ayuda disponible. Te Pagaré 1000
 vales, 200 ahora y el resto cuando hayas terminado el trabajo, ¿qué dices?",19,21,1,1,True
15,114,114,114,,,"¡Llegas demasiado tarde! Sabía que era culpable, sólo quería saberlo a tiempo para detenerle. En cualquier caso, eres el testigo que necesitaba para actuar. Tendremos que ""acabar con él"" Va a ser duro y puedo utilizar toda la ayuda disponible. Te pagaré 1000 vales, 200 ahora y el resto cuando hayas terminado el trabajo, ¿qué dices?","¡Llegas demasiado tarde! Sabía que era culpable, sólo quería saberlo a tiempo para detenerle. En cualquier caso,
 eres el testigo que necesitaba para actuar. Tendremos que ""acabar con él"" Va a ser duro y puedo
 utilizar toda la ayuda disponible. Te pagaré 1000 vales, 200 ahora y el resto cuando hayas terminado el trabajo, ¿qué dices?",22,24,1,1,True
16,115,115,115,,,Llegas demasiado tarde. ¿Cómo sé que no eres culpable? PSeguro que a Decker no le gusta que nadie conozca sus planes y su vida.,"Llegas demasiado tarde. ¿Cómo sé que no eres culpable? PSeguro que a Decker no le gusta que nadie conozca sus
 planes y su vida.",25,26,1,1,True
17,116,116,116,,,Acabo de oír que ella ya está muerta....espera un minuto. ¿Cómo sé que tú no eres culpable Seguro que a Decker no le gusta que alguien conozca sus planes y su vida.,"Acabo de oír que ella ya está muerta....espera un minuto. ¿Cómo sé que tú no eres culpable
 Seguro que a Decker no le gusta que alguien conozca sus planes y su vida.",27,28,1,1,True
18,117,117,117,,,Será un placer.,Será un placer.,29,29,1,1,True
19,118,118,118,,,"Lo siento, lo quiero todo por adelantado.","Lo siento, lo quiero todo por adelantado.",30,30,1,1,True
20,119,119,119,,,¡Ni hablar! Es tu problema y no el mío.,¡Ni hablar! Es tu problema y no el mío.,31,31,1,1,True
21,120,120,120,,,"No. Aunque parezcas digno de confianza no puedo estar seguro de que te quedarás con nosotros cuando las cosas empeoren. Por lo menos uno de nosotros tiene que sobrevivir para asegurarse de que cobras. De este modo se contará con un ""poco"" de seguridad.","No. Aunque parezcas digno de confianza no puedo estar seguro de que te quedarás con nosotros cuando las cosas empeoren. Por lo menos uno de nosotros tiene que sobrevivir para asegurarse de que cobras. De este modo se contará con un ""poco"" de seguridad.",32,32,1,1,True
22,121,121,121,,,Vale.,Vale.,33,33,1,1,True
23,122,122,122,,,"Hazlo tú solo, Sheriff.","Hazlo tú solo, Sheriff.",34,34,1,1,True
24,123,123,123,,,¡Vale! Podemos irnos cuando quieras.,¡Vale! Podemos irnos cuando quieras.,35,35,1,1,True
25,124,124,124,,,Ya mismo.,Ya mismo.,36,36,1,1,True
26,125,125,125,,,Bien. Adiós.,Bien. Adiós.,37,37,1,1,True
27,126,126,126,,,"Lamento oír eso. Si cambias de opinión, por favor, házmelo saber, pero no puedo esperar mucho.","Lamento oír eso. Si cambias de opinión, por favor, házmelo saber, pero no puedo esperar mucho.",38,38,1,1,True
28,127,127,127,,,"Vale, lo haré. Espera a que coja algunos suministros.","Vale, lo haré. Espera a que coja algunos suministros.",39,39,1,1,True
29,128,128,128,,,Estás mal de la cabeza.,Estás mal de la cabeza.,40,40,1,1,True
30,129,129,129,,,Adiós.,Adiós.,41,41,1,1,True
31,130,130,130,,,"¡Vale! Avísame cuando quieras salir. Te esperaremos, pero no tardes mucho.","¡Vale! Avísame cuando quieras salir. Te esperaremos, pero no tardes mucho.",42,42,1,1,True
32,131,131,131,,,"¿Qué? ¡Pretendes que me dedique a matar a gente inocente? Tengo una deuda contraída con esta ciudad, que no espero que entiendas.","¿Qué? ¡Pretendes que me dedique a matar a gente inocente? Tengo una deuda contraída con esta ciudad,
 que no espero que entiendas.",43,44,1,1,True
33,132,132,132,,,Tienes razón. Ahora te toca a ti.,Tienes razón. Ahora te toca a ti.,45,45,1,1,True
34,133,133,133,,,¿Cómo te atreves a acusarme?,¿Cómo te atreves a acusarme?,46,46,1,1,True
35,134,134,134,,,No me importa lo que pienses.,No me importa lo que pienses.,47,47,1,1,True
36,135,135,135,,,Bien. Él no ha intentado nada.,Bien. Él no ha intentado nada.,48,48,1,1,True
37,136,136,136,,,Estábamos en el Halcón y había mucha gente alrededor.,Estábamos en el Halcón y había mucha gente alrededor.,49,49,1,1,True
38,137,137,137,,,"Lo siento. Decker ha estado enfrentándonos los unos a los otros durante años. Ya no sé en quién confiar. Pero podías serme de gran ayuda. Será duro, pero te pagaré 1000 vales, 200 ahora y el resto cuando hayamos terminado el trabajo.","Lo siento. Decker ha estado enfrentándonos los unos a los otros durante años. Ya no sé en quién confiar.
 Pero podías serme de gran ayuda. Será duro, pero te pagaré 1000 vales, 200 ahora y el resto cuando
 hayamos terminado el trabajo.",50,52,1,1,True
39,138,138,138,,,"¡Conozco a una rata de lejos! Tienes suerte de que no tenga pruebas, y te recomiendo abandonar la ciudad antes de que encuentre alguna.","¡Conozco a una rata de lejos! Tienes suerte de que no tenga pruebas, y te recomiendo abandonar la ciudad antes de que encuentre alguna.",53,53,1,1,True
40,139,139,139,,,"Es muy raro. Nunca he oído que Decker salga de su despacho. Debe de coger valor. Ese maldito, asesinando...¡Argh! ¡Pero lo cogeré! Te diré una cosa, tú nos ayudas y te pagaré 100 vales-- 200 ahora y 800 cuando hayamos terminado el trabajo. ¿Qué dices?","Es muy raro. Nunca he oído que Decker salga de su despacho. Debe de coger valor. Ese maldito,
 asesinando...¡Argh! ¡Pero lo cogeré! Te diré una cosa, tú nos ayudas y te pagaré 100 vales--
 200 ahora y 800 cuando hayamos terminado el trabajo. ¿Qué dices?",54,56,1,1,True
41,140,140,140,,,Es la mayor montaña de mierda de Brahmin que he oído en mi vida. Decker nunca sale de su despacho. Sabía que algo andaba mal contigo. Tienes suerte de que no tenga pruebas. Te recomiendo que abandones la ciudad antes de que encuentre alguna.,"Es la mayor montaña de mierda de Brahmin que he oído en mi vida. Decker nunca sale de su despacho. Sabía que algo
 andaba mal contigo. Tienes suerte de que no tenga pruebas. Te recomiendo que abandones la ciudad antes de que encuentre alguna.",57,58,1,1,True
42,141,141,141,,,"Vale, vamos...","Vale, vamos...",59,59,1,1,True
43,142,142,142,,,"Así que has vuelto para entregarte, ¿eh? Me impresionas.","Así que has vuelto para entregarte, ¿eh? Me impresionas.",60,60,1,1,True
44,143,143,143,,,"Sí, lo siento.","Sí, lo siento.",61,61,1,1,True
45,144,144,144,,,¿Entregarme? No me hagas reír.,¿Entregarme? No me hagas reír.,62,62,1,1,True
46,145,145,145,,,¡Cogedlo!,¡Cogedlo!,63,63,1,1,True
47,146,146,146,,,¡Cogedla!,¡Cogedla!,64,64,1,1,True
48,147,147,147,,,"Vale, te meteré en tu celda.","Vale, te meteré en tu celda.",65,65,1,1,True
49,148,148,148,,,No muevas ni un dedo. No te vas a mover en una temporada.,No muevas ni un dedo. No te vas a mover en una temporada.,66,66,1,1,True
