occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,你看见安柏尔，末世论者的一个教师。,你看见安柏尔，末世论者的一个教师。,1,1,1,2,False
2,101,101,101,,,现在是我休息的时候。请在晚上再来。,现在是我休息的时候。请在晚上再来。,2,2,1,2,False
3,102,102,102,,,欢迎，高贵的旅行者。你是来这里钻研的吗？,欢迎，高贵的旅行者。你是来这里钻研的吗？,3,3,1,2,False
4,103,103,103,,,不。我实际上只是来这里杀人。,不。我实际上只是来这里杀人。,4,4,1,2,False
5,104,104,104,,,这要看你想教我什么。,这要看你想教我什么。,5,5,1,2,False
6,105,105,105,,,是的，我愿意学。,是的，我愿意学。,6,6,1,2,False
7,106,106,106,,,我很遗憾听你这么说。末世论相信和平是无价的。因为这点，我已经自愿放弃使用暴力。晚安。,我很遗憾听你这么说。末世论相信和平是无价的。因为这点，我已经自愿放弃使用暴力。晚安。,7,7,1,2,False
8,107,107,107,,,我精通多种语言和艺术。或许你想学其中的一项？,我精通多种语言和艺术。或许你想学其中的一项？,8,8,1,2,False
9,108,108,108,,,抱歉，不过我需要知道能帮助我生存的事情。,抱歉，不过我需要知道能帮助我生存的事情。,9,9,1,2,False
10,109,109,109,,,我没有时间花在这种东西上。走了。,我没有时间花在这种东西上。走了。,10,10,1,2,False
11,110,110,110,,,或许我能听一两首歌。,或许我能听一两首歌。,11,11,1,2,False
12,111,111,111,,,你能教我点别的么？,你能教我点别的么？,12,12,1,2,False
13,112,112,112,,,"啊, 我们这里有个生命的研习者。如此，我能教你些草药知识，只不过势必需时多而所获少。","啊, 我们这里有个生命的研习者。如此，我能教你些草药知识，只不过势必需时多而所获少。",13,13,1,2,False
14,113,113,113,,,可以啊，教我吧。,可以啊，教我吧。,14,14,1,2,False
15,114,114,114,,,拜托，教我你所会的。,拜托，教我你所会的。,15,15,1,2,False
16,115,115,115,,,抱歉，我实在没有时间花在植物上。再见。,抱歉，我实在没有时间花在植物上。再见。,16,16,1,2,False
17,116,116,116,,,你不该这么粗鲁。现在道歉，不然我不会再教你。,你不该这么粗鲁。现在道歉，不然我不会再教你。,17,17,1,2,False
18,117,117,117,,,对不起。你愿意教我吗？,对不起。你愿意教我吗？,18,18,1,2,False
19,118,118,118,,,算了。,算了。,19,19,1,2,False
20,119,119,119,,,现在好点了。你将开始你的学习。,现在好点了。你将开始你的学习。,20,20,1,2,False
21,120,120,120,,,你学得很快。愿对你的考验能启发你。和平与你同在。,你学得很快。愿对你的考验能启发你。和平与你同在。,21,21,1,2,False
22,121,121,121,,,你学得还可以。愿未来能软化你的心灵和扩大你的思想。,你学得还可以。愿未来能软化你的心灵和扩大你的思想。,22,22,1,2,False
23,122,122,122,,,好吧，我会教你关于生存的一些方法。,好吧，我会教你关于生存的一些方法。,23,23,1,2,False
24,123,123,123,,,你学得很快。愿你的考验能启发你。和平与你同在。,你学得很快。愿你的考验能启发你。和平与你同在。,24,24,1,2,False
25,124,124,124,,,你并没有说服我。我认为你寻求把我的能力用在不良之处。晚安。,你并没有说服我。我认为你寻求把我的能力用在不良之处。晚安。,25,25,1,2,False
26,125,125,125,,,啊，一个想学习艺术的学生现在在世界上已经很罕见了，不过或许你还有希望。每首歌都比较长，你愿意听吗？,啊，一个想学习艺术的学生现在在世界上已经很罕见了，不过或许你还有希望。每首歌都比较长，你愿意听吗？,26,26,1,2,False
27,126,126,126,,,《自黑暗中觉醒》,《自黑暗中觉醒》,27,27,1,2,False
28,127,127,127,,,《亚尔河之歌》,《亚尔河之歌》,28,28,1,2,False
29,128,128,128,,,《阿耳忒弥斯的回忆》,《阿耳忒弥斯的回忆》,29,29,1,2,False
30,129,129,129,,,《黎明战车破晓之际》,《黎明战车破晓之际》,30,30,1,2,False
31,130,130,130,,,一件惊人的作品。我愿意见你。,一件惊人的作品。我愿意见你。,31,31,1,2,False
32,131,131,131,,,我必须休息了。这次传授让我精疲力尽。祝你好运。,我必须休息了。这次传授让我精疲力尽。祝你好运。,32,32,1,2,False
33,132,132,132,,,一件惊人的作品。我愿意见你。,一件惊人的作品。我愿意见你。,33,33,1,2,False
34,133,133,133,,,我必须休息了。这次传授让我精疲力尽。祝你好运。,我必须休息了。这次传授让我精疲力尽。祝你好运。,34,34,1,2,False
35,134,134,134,,,一件惊人的作品。我愿意见你。,一件惊人的作品。我愿意见你。,35,35,1,2,False
36,135,135,135,,,我必须休息了。这次传授让我精疲力尽。祝你好运。,我必须休息了。这次传授让我精疲力尽。祝你好运。,36,36,1,2,False
37,136,136,136,,,一件惊人的作品。我愿意见你。,一件惊人的作品。我愿意见你。,37,37,1,2,False
38,137,137,137,,,我必须休息了。这次传授让我精疲力尽了。祝你好运。,我必须休息了。这次传授让我精疲力尽了。祝你好运。,38,38,1,2,False
39,138,138,138,,,恐怕我已经花了太多的时间和精力了。我很抱歉。,恐怕我已经花了太多的时间和精力了。我很抱歉。,39,39,1,2,False
40,139,139,139,,,和平与美就是所有我能教的。我很遗憾这些对于你似乎没什么吸引力。再见。,和平与美就是所有我能教的。我很遗憾这些对于你似乎没什么吸引力。再见。,40,40,1,2,False
41,140,140,140,,,我能教你老诗人和吟游诗人之道。,我能教你老诗人和吟游诗人之道。,41,41,1,2,False
42,141,141,141,,,我会很荣幸听能你唱一首。,我会很荣幸听能你唱一首。,42,42,1,2,False
43,142,142,142,,,或许别的什么时候吧。谢谢。,或许别的什么时候吧。谢谢。,43,43,1,2,False
44,143,143,143,,,我希望能学一些能帮我更多的东西。,我希望能学一些能帮我更多的东西。,44,44,1,2,False
45,144,144,144,,,你不需要我的才能。你已经教授原本和平之人以战争之道。我为他们哀悼。,你不需要我的才能。你已经教授原本和平之人以战争之道。我为他们哀悼。,45,45,1,2,False
46,1099,1099,1099,,,?,?,50,50,1,1,True
47,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,51,51,1,1,True
48,100,100,100,,,"You see 安柏尔, a teacher for the 末世论者.","You see 安柏尔, a teacher for the 末世论者.",53,53,2,2,True
49,101,101,101,,,"Now is when I rest. Please, come back during the evening.","Now is when I rest. Please, come back during the evening.",54,54,2,2,True
50,102,102,102,,,Welcome noble traveler. Have you come here to study?,Welcome noble traveler. Have you come here to study?,55,55,2,2,True
51,103,103,103,,,No. I really came here just to kill things.,No. I really came here just to kill things.,56,56,2,2,True
52,104,104,104,,,Depends on what you want to teach me.,Depends on what you want to teach me.,57,57,2,2,True
53,105,105,105,,,"Yes, I am willing to learn.","Yes, I am willing to learn.",58,58,2,2,True
54,106,106,106,,,"I am truly sorry to hear that. The 末世论者 believe in peace at all costs. For that reason, I have renounced violence. Good evening.","I am truly sorry to hear that. The 末世论者 believe in peace at all costs. For that reason, I have renounced violence. Good evening.",59,59,2,2,True
55,107,107,107,,,I am skilled in many of the languages and arts. Perhaps you would like to learn one of those?,I am skilled in many of the languages and arts. Perhaps you would like to learn one of those?,60,60,2,2,True
56,108,108,108,,,"I'm sorry, but I need to know things which will help me survive.","I'm sorry, but I need to know things which will help me survive.",61,61,2,2,True
57,109,109,109,,,I have no time for that type of stuff. I'm gone.,I have no time for that type of stuff. I'm gone.,62,62,2,2,True
58,110,110,110,,,Perhaps I can listen to a song or two.,Perhaps I can listen to a song or two.,63,63,2,2,True
59,111,111,111,,,Can you teach me anything else?,Can you teach me anything else?,64,64,2,2,True
60,112,112,112,,,"Ah, we have here a student of life. In a case like this, I can teach you some herbalism, but training takes a while for little result.","Ah, we have here a student of life. In a case like this, I can teach you some herbalism, but training takes a while for little result.",65,65,2,2,True
61,113,113,113,,,"Fine, just teach me.","Fine, just teach me.",66,66,2,2,True
62,114,114,114,,,"Please, teach me what you can.","Please, teach me what you can.",67,67,2,2,True
63,115,115,115,,,"Sorry, I really don't have time for plants. Goodbye.","Sorry, I really don't have time for plants. Goodbye.",68,68,2,2,True
64,116,116,116,,,"You need not be rude. Apologize now, or I won't teach you.","You need not be rude. Apologize now, or I won't teach you.",69,69,2,2,True
65,117,117,117,,,I am sorry. Will you please teach me?,I am sorry. Will you please teach me?,70,70,2,2,True
66,118,118,118,,,Forget it.,Forget it.,71,71,2,2,True
67,119,119,119,,,That is better now. We will begin your studies.,That is better now. We will begin your studies.,72,72,2,2,True
68,120,120,120,,,You are an apt learner. May your trials be light. Go in peace.,You are an apt learner. May your trials be light. Go in peace.,73,73,2,2,True
69,121,121,121,,,As you see fit. May the future soften your heart and broaden your mind.,As you see fit. May the future soften your heart and broaden your mind.,74,74,2,2,True
70,122,122,122,,,"Very well, I will teach you the ways to survive.","Very well, I will teach you the ways to survive.",75,75,2,2,True
71,123,123,123,,,You are an apt learner. May your trials be light. Go in peace.,You are an apt learner. May your trials be light. Go in peace.,76,76,2,2,True
72,124,124,124,,,You do not convince me. I think you seek to use my gifts for ill. Good evening.,You do not convince me. I think you seek to use my gifts for ill. Good evening.,77,77,2,2,True
73,125,125,125,,,"Ah, a student of the arts is a rare thing in this world. Perhaps there is hope for you yet. Each song is long in time. Which would you like to hear?","Ah, a student of the arts is a rare thing in this world. Perhaps there is hope for you yet. Each song is long in time. Which would you like to hear?",78,78,2,2,True
74,126,126,126,,,In the Wake of the Shadow.,In the Wake of the Shadow.,79,79,2,2,True
75,127,127,127,,,The Ballad of Aires.,The Ballad of Aires.,80,80,2,2,True
76,128,128,128,,,In Remembrance of Artemis.,In Remembrance of Artemis.,81,81,2,2,True
77,129,129,129,,,The Rising of Dawn's Chariot.,The Rising of Dawn's Chariot.,82,82,2,2,True
78,130,130,130,,,An astonishing piece of work. I shall grant you an audience.,An astonishing piece of work. I shall grant you an audience.,83,83,2,2,True
79,131,131,131,,,I must rest. This teaching drains much from me. Good luck to you.,I must rest. This teaching drains much from me. Good luck to you.,84,84,2,2,True
80,132,132,132,,,An astonishing piece of work. I shall grant you an audience.,An astonishing piece of work. I shall grant you an audience.,85,85,2,2,True
81,133,133,133,,,I must rest. This teaching drains much from me. Good luck to you.,I must rest. This teaching drains much from me. Good luck to you.,86,86,2,2,True
82,134,134,134,,,An astonishing piece of work. I shall grant you an audience.,An astonishing piece of work. I shall grant you an audience.,87,87,2,2,True
83,135,135,135,,,I must rest. This teaching drains much from me. Good luck to you.,I must rest. This teaching drains much from me. Good luck to you.,88,88,2,2,True
84,136,136,136,,,An astonishing piece of work. I shall grant you an audience.,An astonishing piece of work. I shall grant you an audience.,89,89,2,2,True
85,137,137,137,,,I must rest. This teaching drains much from me. Good luck to you.,I must rest. This teaching drains much from me. Good luck to you.,90,90,2,2,True
86,138,138,138,,,I fear I have spent myself far too much. I am sorry.,I fear I have spent myself far too much. I am sorry.,91,91,2,2,True
87,139,139,139,,,Peace and Beauty are all I can teach. I am sorry that those are not appealing to you. Good day.,Peace and Beauty are all I can teach. I am sorry that those are not appealing to you. Good day.,92,92,2,2,True
88,140,140,140,,,I can teach you the ways of the old bards and minstrels.,I can teach you the ways of the old bards and minstrels.,93,93,2,2,True
89,141,141,141,,,I would be honored to hear a song.,I would be honored to hear a song.,94,94,2,2,True
90,142,142,142,,,Perhaps another time. Thank you.,Perhaps another time. Thank you.,95,95,2,2,True
91,143,143,143,,,I was hoping to learn something that may help me more.,I was hoping to learn something that may help me more.,96,96,2,2,True
92,144,144,144,,,You have no need of my talents. You have taught peaceful people the ways of war. I mourn for them now.,You have no need of my talents. You have taught peaceful people the ways of war. I mourn for them now.,97,97,2,2,True
