occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,洛克西里可以告诉你：Decker－德克、Jacob－雅各布、Police－警察、Harold－哈罗德、Kane－凯恩、Crimson－深红商会、Traders－远行商会、Caravans－商队、Market－市场、Claw－死亡爪、Missing－失踪的商队、Hot－辐射中心源、Town－旧城区、Heights－高地区、Bob's－鲍勃的店铺、Cathedral－大教堂、Brotherhood－兄弟会、Angel's－洛杉矶、Blades－利刃帮、Razor－剃刀、Merchants－水商会、Spot－辐射中心源、Iguana－蜥蜴、Bits－蜥蜴店铺、Bobs－鲍勃、Steel－钢铁、Angels－洛杉矶、Boneyard－晒骨场、Caravan－商队、Death－死亡爪、Deathclaw－死亡爪、Glow－闪光之地、Oldtown－旧城区、Old－旧城区。,洛克西里可以告诉你：Decker－德克、Jacob－雅各布、Police－警察、Harold－哈罗德、Kane－凯恩、Crimson－深红商会、Traders－远行商会、Caravans－商队、Market－市场、Claw－死亡爪、Missing－失踪的商队、Hot－辐射中心源、Town－旧城区、Heights－高地区、Bob's－鲍勃的店铺、Cathedral－大教堂、Brotherhood－兄弟会、Angel's－洛杉矶、Blades－利刃帮、Razor－剃刀、Merchants－水商会、Spot－辐射中心源、Iguana－蜥蜴、Bits－蜥蜴店铺、Bobs－鲍勃、Steel－钢铁、Angels－洛杉矶、Boneyard－晒骨场、Caravan－商队、Death－死亡爪、Deathclaw－死亡爪、Glow－闪光之地、Oldtown－旧城区、Old－旧城区。,2,2,1,1,True
3,100,100,100,,,"You see Loxley, leader of the Thieves' Guild.","You see Loxley, leader of the Thieves' Guild.",6,6,1,2,False
4,100,100,100,,,你看到洛克西里，盗贼工会的头。,你看到洛克西里，盗贼工会的头。,7,7,2,2,True
5,101,101,101,LOX_0,LOX_0,"It's a little gift from me Da and Mum.  Actually, a few generations before that.  Do you like it?","It's a little gift from me Da and Mum.  Actually, a few generations before that.  Do you like it?",9,9,1,2,False
6,101,101,101,LOX_0,LOX_0,这是我爸妈留给我的小礼物。其实是更上一代人留下的。你觉得怎么样？,这是我爸妈留给我的小礼物。其实是更上一代人留下的。你觉得怎么样？,10,10,2,2,True
7,102,102,102,,,It suits you.,It suits you.,12,12,1,2,False
8,102,102,102,,,很适合你。,很适合你。,13,13,2,2,True
9,103,103,103,,,"No, it hurts my ears.","No, it hurts my ears.",15,15,1,2,False
10,103,103,103,,,不，它很刺耳。,不，它很刺耳。,16,16,2,2,True
11,104,104,104,LOX_0A,LOX_0A,"Why, thank you.  Have to work a bit to keep it with so little refinement about, don't you know.  But enough of that. Loxley's the name.  And yours is?","Why, thank you.  Have to work a bit to keep it with so little refinement about, don't you know.  But enough of that. Loxley's the name.  And yours is?",18,18,1,2,False
12,104,104,104,LOX_0A,LOX_0A,哎呀，谢谢你。装斯文真累，对吧？好，言归正传，我叫洛克西里。你是？,哎呀，谢谢你。装斯文真累，对吧？好，言归正传，我叫洛克西里。你是？,19,19,2,2,True
13,105,105,105,,,I'm ,I'm ,21,21,1,2,False
14,105,105,105,,,我是,我是,22,22,2,2,True
15,106,106,106,,,.,.,24,24,1,2,False
16,106,106,106,,,。,。,25,25,2,2,True
17,107,107,107,,,What's it to you?,What's it to you?,27,27,1,2,False
18,107,107,107,,,关你什么事？,关你什么事？,28,28,2,2,True
19,108,108,108,,,What is this place?,What is this place?,30,30,1,2,False
20,108,108,108,,,这是什么地方？,这是什么地方？,31,31,2,2,True
21,110,110,110,LOX_1F,LOX_1F,"Bloody impressive making it through the defenses like that!  What's your name, luv?","Bloody impressive making it through the defenses like that!  What's your name, luv?",33,33,1,2,False
22,110,110,110,LOX_1F,LOX_1F,你这样通过外面的防御，真他妈的帅呆了！宝贝儿，你叫什么？,你这样通过外面的防御，真他妈的帅呆了！宝贝儿，你叫什么？,34,34,2,2,True
23,109,109,109,LOX_1M,LOX_1M,"Bloody fine job making it through the defenses, mate!  I'm rather impressed.  Toss me your name!","Bloody fine job making it through the defenses, mate!  I'm rather impressed.  Toss me your name!",36,36,1,2,False
24,109,109,109,LOX_1M,LOX_1M,你这样通过外面的防御，真他妈的酷毙了，兄弟！真让我印象深刻。报个名儿吧！,你这样通过外面的防御，真他妈的酷毙了，兄弟！真让我印象深刻。报个名儿吧！,37,37,2,2,True
25,111,111,111,,,I'm ,I'm ,39,39,1,2,False
26,111,111,111,,,我是,我是,40,40,2,2,True
27,112,112,112,,,.,.,42,42,1,2,False
28,112,112,112,,,。,。,43,43,2,2,True
29,113,113,113,,,What's it to you?,What's it to you?,45,45,1,2,False
30,113,113,113,,,关你屁事？,关你屁事？,46,46,2,2,True
31,114,114,114,,,What is this place?,What is this place?,48,48,1,2,False
32,114,114,114,,,这是什么地方？,这是什么地方？,49,49,2,2,True
33,115,115,115,,,"You got a real interesting accent, my friend.","You got a real interesting accent, my friend.",53,53,1,2,False
34,115,115,115,,,朋友，你的口音可真有特点。,朋友，你的口音可真有特点。,54,54,2,2,True
35,116,116,116,,,You talk like an idiot.,You talk like an idiot.,57,57,1,2,False
36,116,116,116,,,你讲话像个白痴。,你讲话像个白痴。,58,58,2,2,True
37,117,117,117,,,Nuhhh?,Nuhhh?,60,60,1,2,False
38,117,117,117,,,啊哈？,啊哈？,61,61,2,2,True
39,118,118,118,LOX_2F,LOX_2F,"Quite pleased to make your acquaintance actually...for now.  Let's get the other bit of politeness taken care of, shall we?  What the bloody, bloody, bloody hell are you doing here!","Quite pleased to make your acquaintance actually...for now.  Let's get the other bit of politeness taken care of, shall we?  What the bloody, bloody, bloody hell are you doing here!",63,63,1,2,False
40,118,118,118,LOX_2F,LOX_2F,很高兴认识你，起码……目前为止是。让我们换另外一个客套话题如何？我日，日，日啊，你他妈的来这干吗？,很高兴认识你，起码……目前为止是。让我们换另外一个客套话题如何？我日，日，日啊，你他妈的来这干吗？,64,64,2,2,True
41,119,119,119,,,I want to join the Circle.,I want to join the Circle.,66,66,1,2,False
42,119,119,119,,,我想加入工会。,我想加入工会。,67,67,2,2,True
43,120,120,120,,,I need to ask you a few things.,I need to ask you a few things.,69,69,1,2,False
44,120,120,120,,,我得问你点事儿。,我得问你点事儿。,70,70,2,2,True
45,121,121,121,,,I'm taking you all off to jail.,I'm taking you all off to jail.,72,72,1,2,False
46,121,121,121,,,我要把你们统统送班房去！,我要把你们统统送班房去！,73,73,2,2,True
47,122,122,122,LOX_3,LOX_3,"Oh, how nice.  A joiner.  Well, you've worked hard enough for a look-see.  But if you really want to join, then you'll have to take the Second Test.","Oh, how nice.  A joiner.  Well, you've worked hard enough for a look-see.  But if you really want to join, then you'll have to take the Second Test.",75,75,1,2,False
48,122,122,122,LOX_3,LOX_3,喔，好极了。一个入伙的。呃，你初试完成的不错。但是如果你真的想加入，你还得再完成复试。,喔，好极了。一个入伙的。呃，你初试完成的不错。但是如果你真的想加入，你还得再完成复试。,76,76,2,2,True
49,123,123,123,,,What's that?,What's that?,78,78,1,2,False
50,123,123,123,,,什么复试？,什么复试？,79,79,2,2,True
51,124,124,124,,,Sounds scary . . . How about I pass?,Sounds scary . . . How about I pass?,81,81,1,2,False
52,124,124,124,,,听起来很难……你就让我直接通过得了。,听起来很难……你就让我直接通过得了。,82,82,2,2,True
53,125,125,125,,,Uh . . . what was the first test?,Uh . . . what was the first test?,84,84,1,2,False
54,125,125,125,,,那个……第一个测试是什么来着？,那个……第一个测试是什么来着？,85,85,2,2,True
55,126,126,126,LOX_4,LOX_4,"Quite simple, really.  You prove yourself as a thief.  Succeed, and the world is yours!  If not, then you'll never see us again.  Except if you come looking.  And if you don't understand, that last bit is a threat.","Quite simple, really.  You prove yourself as a thief.  Succeed, and the world is yours!  If not, then you'll never see us again.  Except if you come looking.  And if you don't understand, that last bit is a threat.",87,87,1,2,False
56,126,126,126,LOX_4,LOX_4,很简单，真的。你证明自己是个盗贼。成功后，你将成为行会的一员！否则，你将永远不会见到我们了。除非你不明白最后一句是个警告而再次回来。,很简单，真的。你证明自己是个盗贼。成功后，你将成为行会的一员！否则，你将永远不会见到我们了。除非你不明白最后一句是个警告而再次回来。,88,88,2,2,True
57,127,127,127,,,What's the test?,What's the test?,90,90,1,2,False
58,127,127,127,,,测试内容是什么？,测试内容是什么？,91,91,2,2,True
59,128,128,128,,,"Do you mean you'll move this whole place if I fail, or try to kill me.","Do you mean you'll move this whole place if I fail, or try to kill me.",93,93,1,2,False
