occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,100,100,100,,,You see Dragon.,You see Dragon.,4,4,1,2,False
4,100,100,100,,,你看见龙。,你看见龙。,5,5,2,2,True
5,101,101,101,,,,,6,6,1,1,True
6,102,102,102,,,,,7,7,1,1,True
7,103,103,103,,,You see a member of the Blades.,You see a member of the Blades.,8,8,1,2,False
8,103,103,103,,,你看见利刃帮的一个成员。,你看见利刃帮的一个成员。,9,9,2,2,True
9,104,104,104,,,You see a member of the Blades.,You see a member of the Blades.,10,10,1,2,False
10,104,104,104,,,你看见利刃帮的一个成员。,你看见利刃帮的一个成员。,11,11,2,2,True
11,105,105,105,,,You think that might be Books.,You think that might be Books.,12,12,1,2,False
12,105,105,105,,,你以为那可能是书。,你以为那可能是书。,13,13,2,2,True
13,106,106,106,,,You think that might be Scars.,You think that might be Scars.,14,14,1,2,False
14,106,106,106,,,你以为那可能是伤疤。,你以为那可能是伤疤。,15,15,2,2,True
15,107,107,107,,,You think that might be Gunner.,You think that might be Gunner.,16,16,1,2,False
16,107,107,107,,,你以为那可能是枪手。,你以为那可能是枪手。,17,17,2,2,True
17,108,108,108,,,You think that might be Twitch.,You think that might be Twitch.,18,18,1,2,False
18,108,108,108,,,你以为那可能是抽搐。,你以为那可能是抽搐。,19,19,2,2,True
19,109,109,109,,,You think that might be Hammer.,You think that might be Hammer.,20,20,1,2,False
20,109,109,109,,,你以为那可能是铁锤。,你以为那可能是铁锤。,21,21,2,2,True
21,110,110,110,,,You think that might be Razor.,You think that might be Razor.,22,22,1,2,False
22,110,110,110,,,你以为那可能是刀。,你以为那可能是刀。,23,23,2,2,True
23,111,111,111,,,Get lost! Can't you tell I'm trying to get some rest!,Get lost! Can't you tell I'm trying to get some rest!,24,24,1,2,False
24,111,111,111,,,滚开！难道你看不见我想休息一下吗？,滚开！难道你看不见我想休息一下吗？,25,25,2,2,True
25,112,112,112,,,What are ya doing roaming around out here?,What are ya doing roaming around out here?,26,26,1,2,False
26,112,112,112,,,你在这儿瞎逛些什么？,你在这儿瞎逛些什么？,27,27,2,2,True
27,113,113,113,,,Just looking at the stars.,Just looking at the stars.,28,28,1,2,False
28,113,113,113,,,只管看着这些星星。,只管看着这些星星。,29,29,2,2,True
29,114,114,114,,,Out looking for you.,Out looking for you.,30,30,1,2,False
30,114,114,114,,,出去找你了。,出去找你了。,31,31,2,2,True
31,115,115,115,,,Hunting.,Hunting.,32,32,1,2,False
32,115,115,115,,,打猎。,打猎。,33,33,2,2,True
33,116,116,116,,,"Your looking's cost you dearly. What's the story? Tell me the truth, and you may live.","Your looking's cost you dearly. What's the story? Tell me the truth, and you may live.",34,34,1,2,False
34,116,116,116,,,你这样子可会让你吃不了兜着走。到底怎么回事？想活命，就说实话。,你这样子可会让你吃不了兜着走。到底怎么回事？想活命，就说实话。,35,35,2,2,True
35,117,117,117,,,I'm really here to kill you.,I'm really here to kill you.,36,36,1,2,False
36,117,117,117,,,我一定要干掉你。,我一定要干掉你。,37,37,2,2,True
37,118,118,118,,,I want to end the gang wars.,I want to end the gang wars.,38,38,1,2,False
38,118,118,118,,,我要结束黑帮战争。,我要结束黑帮战争。,39,39,2,2,True
39,119,119,119,,,Just looking for home. It's right there. The moon.,Just looking for home. It's right there. The moon.,40,40,1,2,False
40,119,119,119,,,我在找家，就在那儿，月亮。,我在找家，就在那儿，月亮。,41,41,2,2,True
41,120,120,120,,,"I think I'd be sorry about that, but I don't pay heed to dead people.","I think I'd be sorry about that, but I don't pay heed to dead people.",42,42,1,2,False
42,120,120,120,,,我想该对此说声对不起，但我不会留意死人的。,我想该对此说声对不起，但我不会留意死人的。,43,43,2,2,True
43,121,121,121,,,"Fat chance. Now, get out of here before I send the night guard after you.","Fat chance. Now, get out of here before I send the night guard after you.",44,44,1,2,False
44,121,121,121,,,你根本没有机会，现在，在我派出夜间守卫对付你之前滚出去。,你根本没有机会，现在，在我派出夜间守卫对付你之前滚出去。,45,45,2,2,True
45,122,122,122,,,"My, you don't enjoy life much. I'll help you end it.","My, you don't enjoy life much. I'll help you end it.",46,46,1,2,False
46,122,122,122,,,嘿，你不珍惜自己的性命，我来帮你结束它。,嘿，你不珍惜自己的性命，我来帮你结束它。,47,47,2,2,True
47,123,123,123,,,"You found me. Now, walk or die!","You found me. Now, walk or die!",48,48,1,2,False
48,123,123,123,,,你找到我了。你可以当作没看到，不然就去死！,你找到我了。你可以当作没看到，不然就去死！,49,49,2,2,True
49,124,124,124,,,I think I'll walk.,I think I'll walk.,50,50,1,2,False
50,124,124,124,,,我想我该走了。,我想我该走了。,51,51,2,2,True
51,125,125,125,,,I'd rather live.,I'd rather live.,52,52,1,2,False
52,125,125,125,,,我更想活着。,我更想活着。,53,53,2,2,True
53,126,126,126,,,What's the word on the Rippers?,What's the word on the Rippers?,54,54,1,2,False
54,126,126,126,,,关于电锯党有些什么消息？,关于电锯党有些什么消息？,55,55,2,2,True
55,127,127,127,,,They're gonna kill ya!,They're gonna kill ya!,56,56,1,2,False
56,127,127,127,,,他们会杀了你！,他们会杀了你！,57,57,2,2,True
57,128,128,128,,,They're dead. See?,They're dead. See?,58,58,1,2,False
