occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,6,6,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,7,7,1,1,True
3,100,100,100,,,你看见末世论者的哨兵希瑟。,你看见末世论者的哨兵希瑟。,9,9,1,1,True
4,101,101,101,,,你在干什么？,你在干什么？,10,10,1,1,True
5,102,102,102,,,见鬼！,见鬼！,11,11,1,1,True
6,103,103,103,,,再见。,再见。,14,14,1,1,True
7,104,104,104,,,随便看看。,随便看看。,17,17,1,1,True
8,105,105,105,,,我来取你性命。,我来取你性命。,18,18,1,1,True
9,106,106,106,,,只是好奇这里怎么了？,只是好奇这里怎么了？,19,19,1,1,True
10,107,107,107,,,真的？你想找什么？,真的？你想找什么？,20,20,1,1,True
11,108,108,108,,,我想我找到她了。,我想我找到她了。,21,21,1,1,True
12,109,109,109,,,我在找一个奸细。,我在找一个奸细。,22,22,1,1,True
13,110,110,110,,,真的没什么。只是随便逛逛。,真的没什么。只是随便逛逛。,23,23,1,1,True
14,111,111,111,,,只是想打听些消息。,只是想打听些消息。,24,24,1,1,True
15,112,112,112,,,多谢，但是我已经与人有约了，你还是走吧。,多谢，但是我已经与人有约了，你还是走吧。,25,25,1,1,True
16,113,113,113,,,没错，奸细。我听说过那些讨厌的家伙。希望我们能抓住他。,没错，奸细。我听说过那些讨厌的家伙。希望我们能抓住他。,28,28,1,1,True
17,114,114,114,,,我一直听说那个奸细是女的。,我一直听说那个奸细是女的。,31,31,1,1,True
18,115,115,115,,,你有曾听说过这个奸细吗？,你有曾听说过这个奸细吗？,34,34,1,1,True
19,116,116,116,,,你就是那个奸细！,你就是那个奸细！,37,37,1,1,True
20,117,117,117,,,祝你好运。抱歉打扰你了。,祝你好运。抱歉打扰你了。,40,40,1,1,True
21,118,118,118,,,我敢打赌是那个爱吹牛的尼尔胡扯了这么多。我得空得和他谈谈。,我敢打赌是那个爱吹牛的尼尔胡扯了这么多。我得空得和他谈谈。,41,41,1,1,True
22,119,119,119,,,你认为尼尔是奸细？,你认为尼尔是奸细？,44,44,1,1,True
23,120,120,120,,,那你认为谁会是奸细？,那你认为谁会是奸细？,47,47,1,1,True
24,121,121,121,,,听起来你有所隐瞒。为什么？,听起来你有所隐瞒。为什么？,50,50,1,1,True
25,122,122,122,,,这一点我基本上能确定了。只是需要多一点证据。,这一点我基本上能确定了。只是需要多一点证据。,51,51,1,1,True
26,123,123,123,,,我会给你证据的。,我会给你证据的。,52,52,1,1,True
27,124,124,124,,,他看起来是个不错的人。我不太清楚。,他看起来是个不错的人。我不太清楚。,53,53,1,1,True
28,125,125,125,,,为什么你认为是他？,为什么你认为是他？,54,54,1,1,True
29,126,126,126,,,多谢，你不清楚这对我意味着什么。一旦你找到证据，就杀了他。,多谢，你不清楚这对我意味着什么。一旦你找到证据，就杀了他。,55,55,1,1,True
30,127,127,127,,,再明显不过了。他能进入大教堂。夜里别人进入梦乡的时候，他出来活动。肯定就是他。,再明显不过了。他能进入大教堂。夜里别人进入梦乡的时候，他出来活动。肯定就是他。,56,56,1,1,True
31,128,128,128,,,好的，我会好好查查的。,好的，我会好好查查的。,61,61,1,1,True
32,129,129,129,,,算了。我看你只是逗我玩儿！,算了。我看你只是逗我玩儿！,62,62,1,1,True
33,130,130,130,,,你那么想真让我遗憾。我可不能让人认为我是奸细。我得杀了你。,你那么想真让我遗憾。我可不能让人认为我是奸细。我得杀了你。,63,63,1,1,True
34,131,131,131,,,他在晚上进入大教堂。没人看到他在值班。肯定是他。,他在晚上进入大教堂。没人看到他在值班。肯定是他。,66,66,1,1,True
35,132,132,132,,,好的，我会好好查查的。,好的，我会好好查查的。,71,71,1,1,True
36,133,133,133,,,算了。我看你只是逗我玩儿！,算了。我看你只是逗我玩儿！,72,72,1,1,True
37,134,134,134,,,我不太肯定那是谁。我想可能是卫兵或者学者。他们老是在夜里溜进大教堂。,我不太肯定那是谁。我想可能是卫兵或者学者。他们老是在夜里溜进大教堂。,73,73,1,1,True
38,135,135,135,,,你还能想到些什么？,你还能想到些什么？,79,79,1,1,True
39,136,136,136,,,可我以前听说只有哨兵袭击大教堂教徒。,可我以前听说只有哨兵袭击大教堂教徒。,82,82,1,1,True
40,137,137,137,,,好的。多谢你的帮助。,好的。多谢你的帮助。,88,88,1,1,True
41,138,138,138,,,不太肯定。我只觉得是个男的，可能是个学者或者卫兵。,不太肯定。我只觉得是个男的，可能是个学者或者卫兵。,89,89,1,1,True
42,139,139,139,,,Ok。多谢你的帮助。,Ok。多谢你的帮助。,92,92,1,1,True
43,140,140,140,,,没错。我们哨兵多次袭击了大教堂，最终损失了很多人。这个奸细把我们害惨了。,没错。我们哨兵多次袭击了大教堂，最终损失了很多人。这个奸细把我们害惨了。,93,93,1,1,True
44,141,141,141,,,看起来你被他气疯了。我会找到这个奸细杀了他的。,看起来你被他气疯了。我会找到这个奸细杀了他的。,99,99,1,1,True
45,142,142,142,,,奸细有没有可能是个哨兵？,奸细有没有可能是个哨兵？,103,103,1,1,True
46,143,143,143,,,谢谢你帮忙。,谢谢你帮忙。,106,106,1,1,True
47,144,144,144,,,我们的人为什么会那么干？,我们的人为什么会那么干？,107,107,1,1,True
48,145,145,145,,,如果你杀了所有哨兵，就再没有袭击了。,如果你杀了所有哨兵，就再没有袭击了。,110,110,1,1,True
49,146,146,146,,,我不知道。你为什么那么做？,我不知道。你为什么那么做？,111,111,1,1,True
50,147,147,147,,,不知道。只是好奇。,不知道。只是好奇。,112,112,1,1,True
51,148,148,148,,,听起来主意不错。我发现彼得从来都是在袭击中安然无恙。我想可能他是。,听起来主意不错。我发现彼得从来都是在袭击中安然无恙。我想可能他是。,113,113,1,1,True
52,149,149,149,,,好的，我会好好查查的。,好的，我会好好查查的。,116,116,1,1,True
53,150,150,150,,,算了。我看你只是逗我玩儿！,算了。我看你只是逗我玩儿！,117,117,1,1,True
54,151,151,151,,,你觉得我是？,你觉得我是？,118,118,1,1,True
55,152,152,152,,,抱歉，我有点儿紧张。,抱歉，我有点儿紧张。,121,121,1,1,True
56,153,153,153,,,对！你去死吧！,对！你去死吧！,124,124,1,1,True
57,154,154,154,,,那到其他地方转悠吧。我还有活儿干。,那到其他地方转悠吧。我还有活儿干。,125,125,1,1,True
58,155,155,155,,,我看他认为我是奸细。可我不是。,我看他认为我是奸细。可我不是。,128,128,1,1,True
59,156,156,156,,,他可能是对的。,他可能是对的。,131,131,1,1,True
60,157,157,157,,,为什么他会那么认为？,为什么他会那么认为？,132,132,1,1,True
61,158,158,158,,,因为我是新来的哨兵。我刚来没一年，五个月前事情开始发生了。,因为我是新来的哨兵。我刚来没一年，五个月前事情开始发生了。,133,133,1,1,True
62,159,159,159,,,我看尼尔可能没错。,我看尼尔可能没错。,136,136,1,1,True
63,160,160,160,,,我看尼尔可能是奸细。我会查查的。,我看尼尔可能是奸细。我会查查的。,139,139,1,1,True
64,161,161,161,,,那就到别的地儿去。别在这儿杵着。,那就到别的地儿去。别在这儿杵着。,142,142,1,1,True
65,162,162,162,,,如果你想打听点儿什么的话去找尼可儿。她自认通天晓。,如果你想打听点儿什么的话去找尼可儿。她自认通天晓。,143,143,1,1,True
66,163,163,163,,,如果你肯付钱的话，我倒是乐意告诉你些事情。,如果你肯付钱的话，我倒是乐意告诉你些事情。,146,146,1,1,True
67,164,164,164,,,开个价？,开个价？,147,147,1,1,True
68,165,165,165,,,你出售秘密？,你出售秘密？,148,148,1,1,True
69,166,166,166,,,算了。我没钱。,算了。我没钱。,149,149,1,1,True
70,167,167,167,,,300块。,300块。,150,150,1,1,True
71,168,168,168,,,当然。,当然。,153,153,1,1,True
72,169,169,169,,,没门儿。,没门儿。,154,154,1,1,True
73,170,170,170,,,大教堂的据点的最南边会有一场袭击。现在快去。,大教堂的据点的最南边会有一场袭击。现在快去。,155,155,1,1,True
74,171,171,171,,,想耍我？给你点颜色看看！,想耍我？给你点颜色看看！,156,156,1,1,True
75,172,172,172,,,很遗憾你那么想。不过还是祝你愉快。,很遗憾你那么想。不过还是祝你愉快。,157,157,1,1,True
76,173,173,173,,,不管怎样，我得过去。那么，还想打听些什么？,不管怎样，我得过去。那么，还想打听些什么？,158,158,1,1,True
77,174,174,174,,,当然。,当然。,161,161,1,1,True
78,175,175,175,,,没门儿。,没门儿。,162,162,1,1,True
79,176,176,176,,,没事儿。这就走。,没事儿。这就走。,163,163,1,1,True
80,177,177,177,,,对不起。我得休息了。,对不起。我得休息了。,164,164,1,1,True
